t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,tpcc_warehouse_count,tpcc_warehouse_affinity,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
1,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,7.35455,100,0,0,0,0,0,0,0,0,96.2079,0,0,3674647,0,59.8354,0,0,0,124389,0,1860575,58040.2,66658.4,865.141,352.59,32250.7,1.14849,59.8354,1.79965,5,neworder,0,0,2195,1481,0,0,0
1,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,7.35455,100,0,0,0,0,0,0,0,0,96.2079,0,0,3674647,0,59.8354,0,0,0,124389,0,1860575,58040.2,66658.4,865.141,352.59,32250.7,1.14849,59.8354,1.79965,1,district,0,297438,0,211995,0,0,0
1,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,7.35455,100,0,0,0,0,0,0,0,0,96.2079,0,0,3674647,0,59.8354,0,0,0,124389,0,1860575,58040.2,66658.4,865.141,352.59,32250.7,1.14849,59.8354,1.79965,0,warehouse,0,634740,0,610547,0,0,0
1,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,7.35455,100,0,0,0,0,0,0,0,0,96.2079,0,0,3674647,0,59.8354,0,0,0,124389,0,1860575,58040.2,66658.4,865.141,352.59,32250.7,1.14849,59.8354,1.79965,2,customer,0,33,0,30,0,0,0
1,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,7.35455,100,0,0,0,0,0,0,0,0,96.2079,0,0,3674647,0,59.8354,0,0,0,124389,0,1860575,58040.2,66658.4,865.141,352.59,32250.7,1.14849,59.8354,1.79965,3,customerwdl,0,0,0,0,0,0,0
1,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,7.35455,100,0,0,0,0,0,0,0,0,96.2079,0,0,3674647,0,59.8354,0,0,0,124389,0,1860575,58040.2,66658.4,865.141,352.59,32250.7,1.14849,59.8354,1.79965,4,history,0,0,477,0,0,0,0
2,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,9.50414,100,0,0,0,0,0,0,0,0,95.0995,0,0,3646172,0,59.9318,0,0,0,143602,0,2133917,64121.8,68540.6,832.935,355.063,28151,1.06891,59.9318,2.27778,10,stock,0,699,0,1898,0,0,0
2,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,9.50414,100,0,0,0,0,0,0,0,0,95.0995,0,0,3646172,0,59.9318,0,0,0,143602,0,2133917,64121.8,68540.6,832.935,355.063,28151,1.06891,59.9318,2.27778,9,item,0,0,0,0,0,0,0
2,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,9.50414,100,0,0,0,0,0,0,0,0,95.0995,0,0,3646172,0,59.9318,0,0,0,143602,0,2133917,64121.8,68540.6,832.935,355.063,28151,1.06891,59.9318,2.27778,8,orderline,0,37987,45357,182,0,0,0
2,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,9.50414,100,0,0,0,0,0,0,0,0,95.0995,0,0,3646172,0,59.9318,0,0,0,143602,0,2133917,64121.8,68540.6,832.935,355.063,28151,1.06891,59.9318,2.27778,7,order_wdc,0,0,114,8,0,0,0
