t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
16,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2744058,0,119.897,0,0,0,0,0,6194112,65104.9,8828.28,30.4994,14.0338,19481.1,0.135601,119.897,3.34195,0,latest,0,14054358,0,0,0,0,0
17,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2737792,0,119.926,0,0,0,0,0,4968034,81164.5,10621.8,33.5392,16.0153,24280.3,0.130868,119.926,3.34282,0,latest,0,13982614,0,0,0,0,0
18,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2739722,0,119.919,0,0,0,0,0,5533030,72865.5,9790.94,32.3939,15.1509,21806.7,0.13437,119.919,3.34143,0,latest,0,14088344,0,0,0,0,0
19,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2733802,0,119.91,0,0,0,0,0,5365218,75142.9,9991.2,33.3719,15.6202,22478.7,0.132963,119.91,3.34285,0,latest,0,14099969,0,0,0,0,0
20,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2742185,0,119.921,0,0,0,0,0,5466457,73919.2,9788.08,33.1183,15.3308,22123.9,0.132416,119.921,3.34114,0,latest,0,14048277,0,0,0,0,0
21,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2735791,0,119.921,0,0,0,0,0,6082903,66298.5,8996.67,32.515,14.4352,19836.9,0.135699,119.921,3.34218,0,latest,0,13984241,0,0,0,0,0
22,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2737410,0,119.913,0,0,0,0,0,5564671,72464.8,9574.96,33.2168,15.2238,21681.4,0.132133,119.913,3.34225,0,latest,0,13980471,0,0,0,0,0
23,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2741071,0,119.904,0,0,0,0,0,4782605,84305.3,10870,34.8548,16.3072,25227.3,0.128937,119.904,3.34183,0,latest,0,13982681,0,0,0,0,0
24,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2733551,0,119.921,0,0,0,0,0,5316670,75850.6,10175.6,33.4484,15.3356,22696.2,0.134153,119.921,3.34199,0,latest,0,13978194,0,0,0,0,0
25,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2768701,0,119.923,0,0,0,0,0,6060509,66649.7,9077.7,31.2886,14.3151,20097.6,0.1362,119.923,3.3163,0,latest,0,14155561,0,0,0,0,0
26,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2743037,0,119.925,0,0,0,0,0,5088367,79270.3,10424.1,33.9519,15.7425,23717,0.131501,119.925,3.34234,0,latest,0,14018896,0,0,0,0,0
27,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2745116,0,119.924,0,0,0,0,0,5220007,77271.6,9648.8,33.5063,15.5838,23118.5,0.124869,119.924,3.34241,0,latest,0,14151527,0,0,0,0,0
