t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_su_merge,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
12,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,35.4676,14.6115,49.921,17.1587,1.33524,2.43691,28263,468,468,1.04697,20.3301,112.569,155070,22157,21958,118.462,25.9956,343,112.569,0,112.569,5639628,70418.5,9091.7,34.8654,14.8793,21126.9,0.129109,118.462,3.33312,0,latest,7215,13912164,0,0,0,0,0
13,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,41.2296,13.4247,45.3457,15.5247,1.39307,3.12238,35473,480,480,1.04697,21.2828,112.554,153659,27843,27617,118.515,23.6315,345,112.554,0,112.554,5022786,79136.5,9951.64,35.907,15.5668,23734.6,0.125753,118.515,3.33423,0,latest,7214,13857944,0,0,0,0,0
14,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,40.2175,13.8856,45.8969,16.0579,1.08154,3.16961,33601,459,459,1.04697,21.9092,112.554,153900,26274,26030,118.479,23.6175,338,112.554,0,112.554,4870244,81569.3,9889.98,36.164,15.7822,24477.5,0.121246,118.479,3.33242,0,latest,7214,13895845,0,0,0,0,0
15,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,34.817,13.8943,51.2886,20.0356,1.37701,2.49882,28730,508,508,1.04697,21.7012,112.538,155256,22631,22437,118.522,24.7385,336,112.538,0,112.538,4647607,85565.3,8529.3,35.4888,16.5186,25666.8,0.0996818,118.522,3.33369,0,latest,7213,14030194,0,0,0,0,0
16,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,37.7644,13.094,49.1415,19.8002,1.48969,2.98784,31928,497,497,1.04697,21.8165,112.522,153660,25146,24963,118.532,23.2927,340,112.522,0,112.522,4451223,89358.6,8782.82,36.3938,16.8491,26793.4,0.0982873,118.532,3.3351,0,latest,7212,13892812,0,0,0,0,0
17,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,37.4914,14.4658,48.0429,16.8006,1.03312,2.82105,30460,487,487,1.04697,22.054,112.522,155361,23938,23768,118.512,24.7113,349,112.507,0,112.522,4401325,90355.3,9117.93,36.2771,16.9359,27101.4,0.100912,118.512,3.33397,0,latest,7212,13898808,0,0,0,0,0
18,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,30.0051,13.652,56.3429,26.3864,1.11793,2.01959,24816,460,460,1.04697,20.0785,112.569,154390,19808,19697,118.477,23.5257,343,112.569,0,112.569,4453476,89245.2,8799.7,36.0931,16.6362,26774.4,0.0986014,118.477,3.33323,0,latest,7215,13696022,0,0,0,0,0
19,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,31.9314,13.9683,54.1003,23.6414,1.32079,2.34883,25411,455,455,1.04697,19.4008,112.538,154494,20493,20381,118.45,24.1029,362,112.538,0,112.538,5913753,67181,6939.29,31.3967,14.0777,20151.7,0.103293,118.45,3.33377,0,latest,7213,13958829,0,0,0,0,0
0,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,7.88351,8.10584,84.0106,50.9385,2.47726,0.0269783,793651,500389,500389,1.04181,21.1052,10388.9,595515,699870,693093,1.63382,27.4513,530,10388.9,793521,0.0624084,1,246818,119620,12688,2117,1.0486e+06,0.484649,1.63382,0.235379,0,latest,4,1,1735,0,0,0,0
1,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,8.41809,13.5965,77.9854,45.0919,1.31501,0.120405,36384,19267,19267,0.971273,9.26081,701.018,584,32647,32194,112.884,25.3276,888,701.034,0,702.454,172955,1.19104e+06,122000,537.193,100.798,656749,0.102432,112.884,1.81354,0,latest,45023,5670453,0,0,0,0,0
2,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,14.3012,13.2018,72.497,43.468,1.66787,0.350649,58934,25200,25200,0.90771,9.25538,604.395,789,53175,52483,114.98,21.5523,21,604.457,0,605.643,698442,314421,32851.7,161.107,31.4406,165582,0.104483,114.98,1.89889,0,latest,38820,5637450,0,0,0,0,0
3,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,35.8155,11.1973,52.9873,29.8128,2.3056,2.12185,83190,8796,8796,0.400757,18.727,233.33,86920,70289,69398,117.327,16.8899,146,233.345,0,243.253,4395507,80238.4,9839.04,45.5847,15.7417,26824.6,0.122623,117.327,2.99122,0,latest,15589,10919528,0,0,0,0,0
4,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,36.9025,14.3124,48.785,17.0656,2.07579,2.37164,34209,536,536,0.330217,18.7619,131.307,150651,27232,26878,118.503,25.1543,436,131.307,0,132.79,4948226,80104.2,10086.5,35.574,16.3171,24067.1,0.125917,118.503,3.32836,0,latest,8512,13834023,0,0,0,0,0
5,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,36.8524,12.3601,50.7875,24.3977,1.92393,2.83005,30722,461,461,0.200766,19.2906,104.737,151789,24457,24163,118.597,20.8843,333,104.737,0,107.67,4879996,81477.1,10330.9,35.2472,16.4531,24414.8,0.126795,118.597,3.3372,0,latest,6900,13925034,0,0,0,0,0
6,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,28.0565,14.6451,57.2984,25.576,1.35898,2.04823,28302,604,604,0.41936,17.4077,146.145,147401,22460,22191,118.183,25.2019,449,146.145,0,141.418,4565284,86707.6,10687.2,38.8721,17.1167,26013.6,0.123256,118.183,3.33317,0,latest,9065,13741606,0,0,0,0,0
7,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,33.0127,14.004,52.9833,22.4461,1.55283,2.12395,28088,492,492,0.499202,17.0705,114.847,153236,22171,21936,118.62,24.1442,353,115.128,0,113.521,4522378,87830.1,11111.9,37.08,17.2115,26364,0.126516,118.62,3.33145,0,latest,7277,13813185,0,0,0,0,0
8,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,30.6444,15.6164,53.7392,18.8165,1.3929,2.13238,28110,582,581,0.793762,15.366,141.168,151566,22352,22081,118.431,27.8851,423,140.887,0,135.099,4493705,88289.5,11066.7,38.0624,17.1232,26498,0.125345,118.431,3.33193,0,latest,8657,13719596,0,0,0,0,0
9,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,38.1981,13.9409,47.861,17.3043,1.65868,2.74598,33296,576,577,1.04181,16.4062,118.982,152096,26401,26113,118.5,24.2269,348,118.982,0,114.129,4395252,90396.5,10925.9,37.5424,17.5754,27111.1,0.120867,118.5,3.33429,0,latest,7315,13842662,0,0,0,0,0
10,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,40.5409,13.3766,46.0825,15.8461,1.84655,2.80876,33621,481,481,1.04181,18.3891,112.725,152455,26829,26557,118.521,24.0837,341,112.725,0,112.725,6008314,66167.6,8734.14,32.4691,14.3685,19836.5,0.132,118.521,3.33565,0,latest,7225,13719164,0,0,0,0,0
11,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,38.1064,13.9475,47.946,16.7422,1.70705,2.65969,30914,460,460,1.04181,19.3983,112.585,154760,24597,24323,118.526,24.8431,338,112.585,0,112.585,5891270,67484.3,8699.58,33.1179,14.57,20233.4,0.128913,118.526,3.33529,0,latest,7216,13851789,0,0,0,0,0
12,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,39.298,14.1864,46.5156,15.9383,1.68015,2.86195,32391,449,449,1.04181,20.2634,112.46,153564,25583,25371,118.514,24.3169,344,112.46,0,112.46,5549318,71624.5,9190.5,34.0297,15.4253,21481.6,0.128315,118.514,3.33423,0,latest,7208,13842165,0,0,0,0,0
13,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,39.025,14.0235,46.9516,16.5645,1.16337,3.01794,32256,482,482,1.04181,20.8068,112.538,154626,25698,25487,118.539,24.1194,336,112.538,0,112.538,5005969,79452.7,10029.3,34.6128,16.0114,23824.9,0.12623,118.539,3.33486,0,latest,7213,13935065,0,0,0,0,0
14,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,37.5943,14.0526,48.3531,17.1806,1.60751,2.64881,29909,495,495,1.04181,20.7331,112.554,154976,23780,23586,118.539,24.7272,341,112.554,0,112.554,4862865,81727.9,9895.51,35.7607,16.1874,24519.9,0.121079,118.539,3.33313,0,latest,7214,13904789,0,0,0,0,0
15,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,38.0634,14.3878,47.5489,16.7333,1.5791,2.9407,30775,479,479,1.04181,20.4138,112.538,155407,24309,24104,118.516,24.504,336,112.538,0,112.538,4611664,86199.2,8558.07,39.254,16.9496,25846.8,0.0992825,118.516,3.335,0,latest,7213,13989473,0,0,0,0,0
16,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,38.0148,14.1799,47.8053,16.7672,1.59229,2.86805,30369,484,484,1.04181,20.7967,112.507,154950,24128,23946,118.484,24.5911,343,112.491,0,112.507,4519048,87963.3,8699.78,36.9366,17.2331,26378.9,0.0989025,118.484,3.33461,0,latest,7211,14002869,0,0,0,0,0
17,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,37.37,14.5805,48.0495,17.1732,1.18369,2.74974,30351,487,487,1.04181,21.1649,112.538,155219,24138,23952,118.482,24.4676,344,112.538,0,112.538,4458951,88827.4,9010.93,37.688,17.3426,26740.7,0.101443,118.482,3.3218,0,latest,7213,13938330,0,0,0,0,0
18,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,37.4134,13.5709,49.0157,19.0507,1.61013,2.75216,30214,451,451,1.04181,20.6246,112.569,154609,23909,23761,118.478,23.6281,348,112.554,0,112.569,4622215,85604.7,8541.1,36.4979,16.8261,25791,0.0997737,118.478,3.31916,0,latest,7215,13938294,0,0,0,0,0
19,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,40.3446,13.8386,45.8167,16.1501,1.34927,3.17198,33384,457,457,1.04181,21.6277,112.538,154858,26314,26127,118.489,23.51,350,112.538,0,112.538,6069950,65466.5,6811,31.97,14.3099,19648.5,0.104038,118.489,3.33189,0,latest,7213,14064926,0,0,0,0,0
0,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,7.73057,7.9991,84.2703,50.8403,2.50207,0.0257155,796858,503865,503865,1.04697,21.6248,10398.8,569704,701214,694257,1.27609,27.3376,466,10398.8,793521,0.0312042,1,165652,81859,7637,1794,538199,0.494162,1.27609,0.307789,0,latest,2,0,1527,0,0,0,0
