t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_su_merge,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
2,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,14.8995,13.0305,72.0701,42.7947,1.83283,0.369078,60113,25299,25299,0.944142,8.87711,589.947,789,54435,53726,115.092,21.7746,35,568.884,0,589.775,781703,281615,29707.2,149.342,27.0404,148054,0.105489,115.092,1.9021,0,latest,37801,4145223,0,1552360,0,0,0
3,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,30.8908,10.2048,58.9043,35.488,2.17291,1.84606,77524,8878,8877,0.271305,19.2619,209.521,108907,64537,63669,117.863,17.4204,91,205.901,0,222.954,1783278,198703,15482.7,79.5332,17.1095,66423.5,0.0779187,117.863,2.99145,0,latest,14289,3602930,0,1447208,0,0,0
4,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,36.3826,14.0726,49.5448,19.0919,1.92205,2.60994,34561,773,774,0.156582,18.7278,130.48,152279,27415,27082,118.482,24.0547,393,128.53,0,133.07,2270257,172798,13234.4,63.5696,15.7883,52430.2,0.0765888,118.482,3.29577,0,latest,8529,4077530,0,1439085,0,0,0
5,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,33.1834,15.0495,51.7671,19.6009,1.77586,2.35586,29064,707,707,0.444165,18.0007,126.33,154702,23107,22815,118.498,25.5332,387,124.427,0,120.589,2229165,178127,13598.3,64.7274,15.9116,53420,0.0763405,118.498,3.33445,0,latest,7729,4144778,0,1318501,0,0,0
6,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,31.582,15.3756,53.0425,20.2223,1.56868,2.14864,26780,742,741,0.384478,16.9806,124.973,155227,21346,21078,118.605,26.1599,377,123.303,0,125.769,2208150,179918,13776.2,65.3116,16.3626,53977,0.0765693,118.605,3.33324,0,latest,8061,4170560,0,1530239,0,0,0
7,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,30.6223,15.7973,53.5804,19.8387,1.65289,2.2376,24704,732,732,0.320915,15.8737,125.472,156224,19849,19610,118.463,26.9189,378,123.959,0,126.767,2036108,195070,14900.4,67.2177,16.8317,58479.8,0.0763848,118.463,3.33568,0,latest,8127,4060110,0,1483284,0,0,0
8,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,34.8646,15.057,50.0785,18.9299,1.67162,2.68637,31362,712,713,0.645706,15.7551,126.502,153631,25063,24766,118.634,24.9012,385,125.347,0,120.121,2081213,191242,14729.7,67.5324,16.9724,57312,0.077021,118.634,3.33686,0,latest,7697,4330573,0,1430461,0,0,0
9,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,29.4048,15.3732,55.222,21.5586,2.1568,1.91081,24258,851,851,1.04181,14.9978,124.692,156813,19609,19399,118.618,26.8219,352,123.772,0,116.86,2168219,183524,14144.3,65.7966,16.9277,55018.9,0.0770706,118.618,3.33564,0,latest,7490,4506866,0,1572084,0,0,0
10,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,37.9191,13.6043,48.4765,18.9688,1.87444,2.82696,32372,830,830,1.04181,17.8899,114.66,156138,26225,25961,118.677,23.5695,326,113.802,0,114.676,2023209,196978,13482.3,63.5925,14.1616,59000.3,0.0684456,118.677,3.33859,0,latest,7350,2821377,0,1234462,0,0,0
11,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,36.6227,14.0637,49.3136,19.143,1.63329,2.68449,30946,732,732,1.04181,19.0906,112.85,155649,24754,24502,118.663,24.0441,329,112.398,0,112.85,2085968,190971,13394.1,64.9941,14.8338,57226.7,0.0701367,118.663,3.33709,0,latest,7233,3069285,0,1421024,0,0,0
12,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,37.8573,13.9693,48.1735,18.2169,1.5381,2.79006,32755,705,705,1.04181,20.0138,112.866,155608,26221,25961,118.648,23.8729,344,112.429,0,112.866,2178637,182836,13225.1,63.6207,15.11,54789.4,0.0723329,118.648,3.33707,0,latest,7234,3492549,0,1331515,0,0,0
13,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,34.0337,14.961,51.0053,19.247,1.5146,2.5206,27486,697,697,1.04181,19.341,112.491,157877,21983,21771,118.63,25.2396,333,112.086,0,112.491,2194398,181547,13590.5,63.5645,15.4767,54405.4,0.074859,118.63,3.33693,0,latest,7210,3821546,0,1463989,0,0,0
14,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,34.958,14.6462,50.3958,19.0863,1.35426,2.66047,28229,679,679,1.04181,19.534,112.616,157404,22715,22511,118.618,24.965,346,112.288,0,112.616,2036373,195525,13898.7,65.5938,15.8581,58606.6,0.0710838,118.618,3.33623,0,latest,7218,3669317,0,1442457,0,0,0
15,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,36.861,13.9584,49.1806,18.3192,1.40121,2.59078,30337,652,652,1.04181,20.344,112.522,156266,24382,24196,118.594,24.5195,345,112.476,0,112.522,2263157,175824,11683.4,63.6029,16.0551,52710.9,0.0664494,118.594,3.33563,0,latest,7212,4150356,0,1496628,0,0,0
16,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,31.7824,12.993,55.2246,26.6923,1.20192,2.21571,29997,664,664,1.04181,20.1293,112.522,154028,23760,23611,118.59,22.6834,338,112.288,0,112.522,2275187,174876,11857.5,63.1457,16.4559,52443.6,0.067805,118.59,3.33455,0,latest,7212,4585958,0,1536425,0,0,0
17,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,31.8961,15.3415,52.7624,19.8934,1.56805,2.23934,24553,689,689,1.04181,19.551,112.569,159567,19826,19663,118.636,26.1554,336,112.444,0,112.569,2307267,172699,11887.6,62.6616,16.4652,51735.5,0.0688343,118.636,3.33811,0,latest,7215,4693254,0,1473508,0,0,0
18,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,36.9555,14.2082,48.8363,19.0025,1.24673,2.78704,32065,729,729,1.04181,20.9913,112.554,157262,25729,25558,118.634,23.5975,342,112.398,0,112.554,2084079,191129,12387.5,65.4257,16.1253,57299,0.0648125,118.634,3.33563,0,latest,7214,3960291,0,1454074,0,0,0
19,120,1,10,1,6,2.03,11,0.8,20,0,0,0,0,1,100,25,1,1000,0.1,12.1082,29.3906,12.5748,58.0347,31.3038,1.15311,2.15072,27748,649,649,1.04181,20.2479,112.538,154090,22014,21863,118.523,21.1651,336,112.46,0,112.538,2100209,189584,11666,62.1826,14.3356,56784.1,0.0615344,118.523,3.33869,0,latest,7213,3114589,0,1274195,0,0,0
