t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
13,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,20.5481,9.37795,70.0739,33.8674,1.61316,0.284472,35908,7650,7650,1.00708,1.26294,108.622,2656441,7760,117.57,30.8222,418,108.622,0,108.622,8314713,47187.1,7249.58,28.5744,12.8552,14217.5,0.153635,117.57,3.31893,0,latest,6962,13297014,0,0,0,0,0
14,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,16.9824,10.212,72.8056,36.3921,2.02338,0.347181,35613,8077,8077,1.00708,1.28497,108.388,2690855,7916,117.592,30.779,370,108.403,0,108.388,8233258,47662.9,7173.22,28.3398,12.9804,14360.1,0.150499,117.592,3.31911,0,latest,6947,13484515,0,0,0,0,0
15,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,16.9275,10.0789,72.9936,34.3983,2.02432,0.365362,38495,7683,7683,1.00708,1.2749,108.606,2839779,7774,117.589,32.7596,456,108.606,0,108.606,9034391,43456.7,6698.81,27.6042,12.6984,13089,0.154149,117.589,3.3201,0,latest,6961,13383186,0,0,0,0,0
16,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,16.6838,10.2112,73.105,36.3936,1.94878,0.394897,38222,8148,8148,1.00708,1.35531,104.269,3067372,8083,117.663,30.8331,395,104.269,0,104.269,9262093,42411.5,6629.59,27.3832,12.6994,12775.5,0.156316,117.663,3.31976,0,latest,6683,13420249,0,0,0,0,0
17,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,17.4494,10.3985,72.1521,35.2028,1.98309,0.45018,34287,7449,7449,1.00708,1.36758,100.649,2937106,7338,117.744,31.4543,369,100.665,0,100.649,11195341,35107,5861.9,25.8798,11.7397,10577.9,0.166972,117.744,3.31891,0,latest,6451,13256685,0,0,0,0,0
18,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,20.7987,9.2722,69.9291,32.8726,2.12211,0.390802,34955,7558,7558,1.00708,1.35688,106.001,2967372,7605,117.644,31.6636,450,106.001,0,106.001,10117230,38819.1,6260.41,27.0583,12.2367,11695.7,0.161271,117.644,3.3191,0,latest,6794,13337962,0,0,0,0,0
19,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,15.4319,10.2662,74.3019,36.6152,1.69363,0.358705,35238,7482,7482,1.00708,1.31566,109.496,2898313,7505,117.525,31.9475,438,109.496,0,109.496,9730913,40298.5,6435.4,27.0237,12.3447,12148.6,0.159693,117.525,3.31713,0,latest,7018,13339517,0,0,0,0,0
20,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,16.6681,10.0005,73.3314,36.1074,1.99238,0.361839,34287,7009,7009,1.00708,1.31723,104.441,2674699,7393,117.633,31.5595,427,104.441,0,104.441,10018306,39232.8,6327.28,26.8699,12.2164,11808.4,0.161275,117.633,3.32245,0,latest,6694,13491880,0,0,0,0,0
21,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,14.0774,9.10024,76.8224,42.0822,1.52241,0.292771,30823,6005,6005,1.00708,1.19119,99.011,2887319,6210,117.818,29.3129,376,99.0266,0,99.011,11117952,35390.3,5752.99,26.5385,11.6242,10659.7,0.162558,117.818,3.32,0,latest,6346,13281379,0,0,0,0,0
22,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,16.0265,9.71634,74.2571,37.3962,2.21817,0.401739,36007,7027,7027,1.00708,1.17876,105.72,2903698,7403,117.548,31.3077,365,105.736,0,105.72,8371946,46911.6,6056.46,30.5379,13.2156,14123.2,0.129104,117.548,3.3216,0,latest,6776,13633436,0,0,0,0,0
