t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_contention_management,c_backoff_strategy,c_contention_update_tracker_pct,c_restarts_threshold,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
49,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,23.4729,0,233536,0,59.9753,0,0,0,0,0,5558380,36170.5,5159.56,25.8151,11.807,10822.4,0.142646,59.9753,3.34218,0,latest,0,9196834,0,0,0,0,0
50,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,4.66259,15.7,79.6374,36.4329,0.690593,0.0449003,6327,4021,4021,0.921322,11.9402,309.858,162762,5473,57.2435,34.8108,985,309.858,0,311.512,3957063,46904.9,6136.81,29.1551,12.4533,14501.1,0.130835,57.2435,3.23458,0,latest,19966,7673389,0,0,0,0,0
51,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,23.6725,9.20252,67.125,42.0476,1.05627,1.4521,97464,17882,17882,1.00708,22.4445,321.201,61660,79585,57.0534,18.5009,6,321.263,0,319.547,2633355,68867.3,8177.8,36.0362,14.0341,21735,0.118747,57.0534,3.16849,0,latest,20481,6096577,0,0,0,0,0
52,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,97.4366,0.966977,1.59642,0.948732,2.47218,9.0312,7620,5,5,1.00708,22.7364,0.0780106,229999,5818,59.9737,0.547345,0,0.0780106,0,0.0780106,4470525,43825.7,6144.98,27.2781,12.8642,13456.5,0.140214,59.9737,3.25685,0,latest,5,9056455,0,0,0,0,0
53,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,2.56158,2.46305,195,0,0,1.00708,22.7569,0,233291,147,59.9747,0,0,0,0,0,4452825,44736.2,6206.5,27.3584,12.9394,13509.5,0.138735,59.9747,3.31147,0,latest,0,9139512,0,0,0,0,0
54,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.7569,0,233482,0,59.9749,0,0,0,0,0,4481775,44857.6,6203.97,27.3302,12.9322,13422.9,0.138304,59.9749,3.34188,0,latest,0,9193790,0,0,0,0,0
55,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.7569,0,233467,0,59.974,0,0,0,0,0,4476286,44910.3,6206.22,27.3432,12.9414,13438.6,0.138192,59.974,3.34189,0,latest,0,9186518,0,0,0,0,0
56,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.7569,0,233531,0,59.9748,0,0,0,0,0,4478793,44888.2,6216.75,27.3721,12.9689,13432,0.138494,59.9748,3.34189,0,latest,0,9231877,0,0,0,0,0
57,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.7569,0,233500,0,59.974,0,0,0,0,0,4475014,44929.6,6215.42,27.352,12.9492,13442.8,0.138337,59.974,3.34228,0,latest,0,9199059,0,0,0,0,0
58,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.7569,0,233563,0,59.9744,0,0,0,0,0,4459506,45081.5,6225.38,27.361,12.9615,13489.5,0.138092,59.9744,3.34197,0,latest,0,9195682,0,0,0,0,0
59,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.7569,0,233584,0,59.9743,0,0,0,0,0,4481461,44862.6,6206.72,27.3356,12.9418,13424.1,0.138349,59.9743,3.34195,0,latest,0,9204628,0,0,0,0,0
60,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,6.07047,14.5334,79.3961,37.8944,0.739126,0.0725677,10033,5719,5719,0.963808,12.2069,335.211,148411,8682,56.9789,33.1228,1009,335.196,0,336.007,2928946,62888.8,7771.45,33.3721,14.1951,19503.8,0.123574,56.9789,3.22443,0,latest,21536,7138009,0,0,0,0,0
61,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,26.7066,9.94435,63.3491,37.8254,1.19486,1.55703,105775,16099,16099,1.00708,24.2628,298.624,59435,86038,57.1505,18.9121,24,298.687,0,297.829,2882859,61688.8,7255.13,34.8895,13.3422,19889.6,0.117609,57.1505,3.10155,0,latest,19089,5388829,0,0,0,0,0
62,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,3.94908,9.08461,8068,0,0,1.00708,24.1164,0,229895,6072,59.9706,0,0,0,0,0,4880987,40048.5,5615.18,26.1863,12.1849,12325.6,0.140209,59.9706,3.24921,0,latest,0,8819359,0,0,0,0,0
63,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,24.1117,0,233346,0,59.9737,0,0,0,0,0,4929180,40568.7,5644.8,26.2302,12.2489,12203.4,0.139142,59.9737,3.32437,0,latest,0,9004299,0,0,0,0,0
64,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,24.1117,0,233357,0,59.974,0,0,0,0,0,4927601,40796.2,5660.15,26.2383,12.2693,12208.2,0.138742,59.974,3.34172,0,latest,0,9034059,0,0,0,0,0
65,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,24.1117,0,233298,0,59.9743,0,0,0,0,0,4931976,40755,5655.34,26.238,12.2671,12194.2,0.138765,59.9743,3.34216,0,latest,0,9028682,0,0,0,0,0
66,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,24.1117,0,233458,0,59.9736,0,0,0,0,0,4923997,40537.5,5651.68,26.252,12.2739,12216.8,0.139419,59.9736,3.31817,0,latest,0,9018770,0,0,0,0,0
67,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,24.1117,0,233340,0,59.9747,0,0,0,0,0,4932282,40442.4,5641.4,26.2271,12.2507,12194.1,0.139492,59.9747,3.31655,0,latest,0,9005492,0,0,0,0,0
68,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,24.1117,0,233467,0,59.9742,0,0,0,0,0,4924180,40752.4,5660.1,26.239,12.2725,12216.5,0.13889,59.9742,3.33586,0,latest,0,9027750,0,0,0,0,0
69,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,24.1117,0,233481,0,59.9741,0,0,0,0,0,4916284,40892.5,5671.34,26.2656,12.2904,12235.8,0.138689,59.9741,3.34203,0,latest,0,9046364,0,0,0,0,0
70,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,5.33537,14.1399,80.5247,40.7558,0.650294,0.05455,11036,7031,7030,0.937057,11.299,387.104,133903,9516,56.7028,31.7976,1006,386.979,0,388.446,2949060,61535.3,7533.27,31.9833,13.4467,19277.6,0.122422,56.7028,3.19207,0,latest,24897,6988889,0,0,0,0,0
71,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,32.9622,9.7477,57.2901,35.3693,1.01134,2.01305,105220,13243,13244,1.00708,24.1039,241.24,69877,84849,57.824,16.3979,19,241.021,0,239.898,3128328,58354.2,7329.39,32.4924,13.4962,18542.8,0.125602,57.824,3.147,0,latest,15376,6508486,0,0,0,0,0
72,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,97.6792,0.464166,1.85667,0.6127,2.41367,7.3524,3220,1,1,1.00708,23.9496,0.0156021,230187,2351,59.9744,1.1697,1,0.0156021,0,0.0156021,4267998,45200.8,6371.57,27.5177,13.1083,14095.9,0.140961,59.9744,3.20667,0,latest,1,8783287,0,0,0,0,0
73,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,23.9496,0,232962,0,59.9756,0,0,0,0,0,4290933,46406.4,6454.39,27.5733,13.2223,14019.7,0.139084,59.9756,3.31009,0,latest,0,8996756,0,0,0,0,0
74,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,23.9496,0,233485,0,59.9754,0,0,0,0,0,4291690,46850.3,6482.28,27.6048,13.2633,14016.5,0.138362,59.9754,3.34251,0,latest,0,9057765,0,0,0,0,0
75,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,23.9496,0,233418,0,59.9742,0,0,0,0,0,4293992,46825.7,6482.12,27.6243,13.2695,14007.9,0.138431,59.9742,3.34281,0,latest,0,9065086,0,0,0,0,0
76,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,23.9496,0,233524,0,59.9753,0,0,0,0,0,4310198,46650.2,6468.34,27.602,13.2601,13956.5,0.138656,59.9753,3.34255,0,latest,0,9075109,0,0,0,0,0
77,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,23.9496,0,233455,0,59.9748,0,0,0,0,0,4297572,46783.9,6477.94,27.5954,13.2682,13998,0.138465,59.9748,3.34218,0,latest,0,9068657,0,0,0,0,0
78,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,23.9496,0,233541,0,59.9724,0,0,0,0,0,4300409,46539.3,6459.02,27.5917,13.2383,13989.7,0.138786,59.9724,3.32669,0,latest,0,9030702,0,0,0,0,0
79,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,23.9496,0,233442,0,59.9735,0,0,0,0,0,4286933,46505.2,6457.32,27.5634,13.2357,14032.5,0.138851,59.9735,3.3141,0,latest,0,8996081,0,0,0,0,0
80,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,6.71226,13.0016,80.2861,40.7336,0.709692,0.116952,15418,8344,8343,0.963021,13.3918,392.939,119502,13187,56.5122,31.4931,1118,392.378,0,393.75,2322550,76879.4,9043.4,36.5616,15.1906,24391.8,0.117631,56.5122,3.15186,0,latest,25237,6460896,0,0,0,0,0
81,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,27.9703,8.54144,63.4883,38.1625,1.11455,1.79536,94787,13000,13001,1.00708,22.7962,230.49,93809,76546,58.1343,19.2711,16,230.209,0,229.679,3392466,53663.8,6589.41,29.4859,12.361,17189.7,0.122791,58.1343,3.12185,0,latest,14721,6838777,0,0,0,0,0
82,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,98.2207,0.389213,1.39005,0.667223,4.50375,7.33945,2001,1,1,1.00708,22.7726,0.0156021,232337,1542,59.9741,0.639422,0,0.0156021,0,0.0156021,4827484,40086,5429.54,26.7198,12.31,12460.5,0.135447,59.9741,3.21705,0,latest,1,8859099,0,0,0,0,0
83,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.7718,0,233315,0,59.9739,0,0,0,0,0,4841819,41358.2,5500.44,26.7607,12.4086,12424,0.132995,59.9739,3.32889,0,latest,0,9054252,0,0,0,0,0
84,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.7718,0,233315,0,59.975,0,0,0,0,0,4847976,41470.4,5505.56,26.7614,12.4162,12407.4,0.132759,59.975,3.34238,0,latest,0,9074542,0,0,0,0,0
85,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.7718,0,233221,0,59.9753,0,0,0,0,0,4848433,41462.6,5505.41,26.7676,12.4157,12404.3,0.13278,59.9753,3.34259,0,latest,0,9074786,0,0,0,0,0
86,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.7718,0,233400,0,59.9747,0,0,0,0,0,4864886,41324.6,5501.53,26.7632,12.4273,12365.4,0.13313,59.9747,3.34196,0,latest,0,9115896,0,0,0,0,0
87,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.7718,0,233423,0,59.9745,0,0,0,0,0,4854830,41413.9,5503.06,26.7608,12.4204,12391.4,0.132879,59.9745,3.34216,0,latest,0,9092652,0,0,0,0,0
88,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.7718,0,233453,0,59.9751,0,0,0,0,0,4854992,41411.9,5502.72,26.7366,12.4132,12389.8,0.132878,59.9751,3.34242,0,latest,0,9092614,0,0,0,0,0
89,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.7718,0,233473,0,59.9741,0,0,0,0,0,4843732,41508,5511.65,26.7797,12.4264,12419.3,0.132785,59.9741,3.34222,0,latest,0,9089004,0,0,0,0,0
90,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,7.44003,13.0822,79.4778,40.7557,0.84584,0.130661,19596,10414,10413,0.95594,12.1723,441.087,105128,17074,56.3277,30.9931,1057,440.292,0,442.008,2348894,76447.5,8595.2,35.0325,14.1369,24038.7,0.112433,56.3277,3.18018,0,latest,28331,6556715,0,0,0,0,0
91,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,31.4757,7.83675,60.6876,35.9634,1.37227,2.06645,100945,10668,10669,1.00708,23.8458,194.855,101167,81327,58.2767,18.7448,32,194.668,0,193.934,4282484,43169.3,5633.22,27.2047,11.339,13649.6,0.130491,58.2767,3.16268,0,latest,12429,6715225,0,0,0,0,0
92,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,2.72727,5.51515,792,0,0,1.00708,23.7356,0,233063,587,59.9742,0,0,0,0,0,5908690,32806.8,4822.8,24.7345,11.1255,10179.5,0.147006,59.9742,3.22282,0,latest,0,8717436,0,0,0,0,0
93,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,23.7356,0,233494,0,59.975,0,0,0,0,0,5920773,33775.7,4878.86,24.8141,11.2033,10157.9,0.144449,59.975,3.32508,0,latest,0,8893875,0,0,0,0,0
94,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,23.7356,0,233358,0,59.9752,0,0,0,0,0,5900795,34069.4,4899.63,24.85,11.2305,10192.6,0.143813,59.9752,3.34257,0,latest,0,8921688,0,0,0,0,0
95,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,23.7356,0,233387,0,59.9744,0,0,0,0,0,5906105,34037,4897.14,24.8546,11.2327,10183.1,0.143877,59.9744,3.34249,0,latest,0,8931636,0,0,0,0,0
96,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,23.7356,0,233329,0,59.9755,0,0,0,0,0,5918287,33966.3,4899.91,24.8776,11.2425,10163.1,0.144258,59.9755,3.34213,0,latest,0,8969154,0,0,0,0,0
97,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,23.7356,0,233296,0,59.9752,0,0,0,0,0,5919660,33956.6,4889.25,24.823,11.2136,10160.1,0.143985,59.9752,3.34214,0,latest,0,8925639,0,0,0,0,0
98,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,23.7356,0,233358,0,59.9755,0,0,0,0,0,5935625,33864.6,4885.94,24.8104,11.2163,10132.7,0.144279,59.9755,3.34211,0,latest,0,8947308,0,0,0,0,0
99,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,23.7356,0,233303,0,59.975,0,0,0,0,0,5931493,33888.4,4886.51,24.8314,11.2168,10140.6,0.144194,59.975,3.34184,0,latest,0,8941210,0,0,0,0,0
100,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,7.44055,12.3953,80.1642,40.2673,0.836802,0.102978,20546,11138,11138,0.955153,12.1731,463.336,91246,17825,55.8963,31.7186,1099,462.337,0,464.272,2510950,70838.1,8010.84,36.575,13.7997,22317.2,0.113087,55.8963,3.17414,0,latest,29757,5622827,0,0,0,0,0
101,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,32.5376,7.55648,59.9059,34.318,1.09419,2.27168,92676,9655,9655,1.00708,23.0016,168.628,115011,74741,58.4115,19.3292,42,168.284,0,167.691,3779383,48275.1,6364.43,29.3804,12.5154,15504.8,0.131837,58.4115,3.11356,0,latest,10748,6841353,0,0,0,0,0
102,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0.879507,3.78188,241,0,0,1.00708,22.919,0,233380,170,59.9735,0,0,0,0,0,4760987,40686.1,5839.5,26.4303,12.4156,12635.6,0.143526,59.9735,3.21995,0,latest,0,8867571,0,0,0,0,0
103,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.919,0,233411,0,59.9744,0,0,0,0,0,4774970,41893.5,5920.56,26.5405,12.5337,12598.7,0.141324,59.9744,3.32523,0,latest,0,9079952,0,0,0,0,0
104,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.919,0,233443,0,59.9745,0,0,0,0,0,4771810,42121.4,5935.07,26.5573,12.5503,12606.4,0.140904,59.9745,3.34126,0,latest,0,9107655,0,0,0,0,0
105,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.919,0,233303,0,59.9745,0,0,0,0,0,4777402,42016,5926.88,26.553,12.543,12589.2,0.141063,59.9745,3.33747,0,latest,0,9097631,0,0,0,0,0
106,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.919,0,233302,0,59.9745,0,0,0,0,0,4779201,41708.7,5917.32,26.5672,12.535,12586.3,0.141873,59.9745,3.31381,0,latest,0,9081367,0,0,0,0,0
107,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.919,0,233352,0,59.9741,0,0,0,0,0,4780065,41748.2,5911.26,26.5277,12.524,12584.6,0.141593,59.9741,3.3174,0,latest,0,9071149,0,0,0,0,0
108,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.919,0,233408,0,59.9746,0,0,0,0,0,4771598,42086.6,5933.31,26.5733,12.5499,12606.6,0.140979,59.9746,3.33845,0,latest,0,9103410,0,0,0,0,0
109,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.919,0,233408,0,59.9749,0,0,0,0,0,4779047,42062.1,5926.39,26.5575,12.5441,12587.6,0.140896,59.9749,3.34156,0,latest,0,9101333,0,0,0,0,0
110,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,7.72295,12.901,79.3761,42.2899,0.76244,0.114634,24926,13822,13822,0.93155,10.7608,513.731,76679,21794,55.7368,29.5382,1106,512.841,0,515.166,1831338,95622.5,10638.9,40.3714,15.4466,30510,0.11126,55.7368,3.13414,0,latest,33019,5897724,0,0,0,0,0
111,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,39.5629,9.21759,51.2196,32.2316,0.905913,2.72397,87337,7261,7261,1.00708,22.55,125.628,145246,70923,58.6811,13.4866,2,125.581,0,124.193,5385694,34600.7,5040.68,25.4816,11.1915,10931.7,0.145681,58.6811,3.16519,0,latest,7960,7363609,0,0,0,0,0
112,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.498,0,233560,0,59.9733,0,0,0,0,0,6056316,32262.9,4879.87,23.9579,11.2537,9932.74,0.151253,59.9733,3.24814,0,latest,0,8777085,0,0,0,0,0
113,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.498,0,233448,0,59.9745,0,0,0,0,0,6081699,32965.9,4923.9,24.0312,11.3267,9890.21,0.149363,59.9745,3.33319,0,latest,0,8958085,0,0,0,0,0
114,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.498,0,233484,0,59.9743,0,0,0,0,0,6054263,33207.5,4940.48,24.0687,11.3469,9935.9,0.148776,59.9743,3.34217,0,latest,0,8965351,0,0,0,0,0
115,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.498,0,233407,0,59.9727,0,0,0,0,0,6074188,33096.9,4933.73,24.0675,11.343,9902.9,0.149069,59.9727,3.34214,0,latest,0,8983217,0,0,0,0,0
116,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.498,0,233342,0,59.9743,0,0,0,0,0,6085571,33034.6,4931.05,24.0757,11.341,9885.24,0.149269,59.9743,3.34181,0,latest,0,8986155,0,0,0,0,0
117,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.498,0,233422,0,59.9743,0,0,0,0,0,6099659,32931.5,4919.61,24.0248,11.3183,9861.98,0.149389,59.9743,3.33924,0,latest,0,8969592,0,0,0,0,0
118,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.498,0,233435,0,59.9735,0,0,0,0,0,6083945,32832.3,4913.57,24.015,11.3071,9887.88,0.149657,59.9735,3.32046,0,latest,0,8926152,0,0,0,0,0
119,60,1,10,1,6,2,20,0.8,120,0,0,0,1,100,0,1,10000,0.5,22.0149,100,0,0,0,0,0,0,0,0,1.00708,22.498,0,233359,0,59.9743,0,0,0,0,0,6054430,33156.4,4938.82,24.0627,11.3428,9935.67,0.148955,59.9743,3.33711,0,latest,0,8963403,0,0,0,0,0
