t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
42,60,1,10,1,6,2,10,0.8,0,1,0,1,100,0,1,10000,0.5,11.0076,96.683,0.932679,2.38429,1.00281,1.93548,9.90182,9053,6,6,1.00865,21.2061,0.0936127,229012,7042,59.9726,1.25526,0,0.0936127,2,0.0624084,5429664,35975.8,4915.71,25.1216,11.3683,11079.9,0.136639,59.9726,3.24695,0,latest,4,8467553,0,0,2,0,0
43,60,1,10,1,6,2,10,0.8,0,1,0,1,100,0,1,10000,0.5,11.0076,94.2233,1.63934,4.13739,2.02966,0,0,0,1,1,1.00865,21.2054,0.0156021,233198,0,59.9739,1.9516,0,0.0156021,1,0,5384549,37052.7,4941.19,25.4435,11.5169,11170.7,0.133356,59.9739,3.31696,0,latest,0,8620906,0,0,1,0,0
44,60,1,10,1,6,2,10,0.8,0,1,0,1,100,0,1,10000,0.5,11.0076,83.0426,3.87597,13.0814,3.39147,0,0,0,1,1,1.00865,21.2046,0.0156021,233305,0,59.9746,8.91473,1,0.0156021,1,0,5931084,33901.3,4700.08,24.6573,11.0262,10142.4,0.13864,59.9746,3.34254,0,latest,0,8714667,0,0,1,0,0
45,60,1,10,1,6,2,10,0.8,0,1,0,1,100,0,1,10000,0.5,11.0076,88.0474,2.0073,9.94526,2.82847,0,0,0,1,1,1.00865,21.2038,0.0156021,233138,0,59.975,6.56934,1,0.0156021,1,0,5950326,33787,4685.23,24.6048,10.9951,10107.7,0.138669,59.975,3.3427,0,latest,0,8692891,0,0,1,0,0
46,60,1,10,1,6,2,10,0.8,0,1,0,1,100,0,1,10000,0.5,11.0077,85.8856,2.02952,12.0849,4.15129,0,0,0,2,2,1.00865,21.2022,0.0312042,233252,0,59.9744,7.19557,1,0.0312042,2,0,5874384,34223.5,4697.04,24.8956,11.0059,10239.2,0.137246,59.9744,3.34239,0,latest,0,8655762,0,0,2,0,0
47,60,1,10,1,6,2,10,0.8,0,1,0,1,100,0,1,10000,0.5,11.0077,100,0,0,0,0,0,0,0,0,1.00865,21.2022,0,233331,0,59.9742,0,0,0,0,0,5853460,34347.2,4720.56,24.8907,10.9675,10276.1,0.137437,59.9742,3.34244,0,latest,0,8624958,0,0,0,0,0
48,60,1,10,1,6,2,10,0.8,0,1,0,1,100,0,1,10000,0.5,11.0077,70.5074,4.96829,24.5243,7.18816,0,0,0,2,2,1.00865,21.2006,0.0312042,233379,0,59.9755,16.1734,1,0.0312042,2,0,6867985,29272.2,4123.8,27.6402,9.71552,8757.06,0.140878,59.9755,3.3427,0,latest,0,7108264,0,0,2,0,0
49,60,1,10,1,6,2,10,0.8,0,1,0,1,100,0,1,10000,0.5,11.0077,92.8276,0.827586,6.34483,3.03448,0,0,0,1,1,1.00865,21.1998,0.0156021,233305,0,59.9761,3.03448,0,0.0156021,1,0,7079893,28394.1,4017.04,27.8708,9.57679,8495.31,0.141474,59.9761,3.34233,0,latest,0,6893204,0,0,1,0,0
50,60,1,10,1,6,2,10,0.8,0,1,0,1,100,0,1,10000,0.5,11.0077,4.5475,14.2663,81.1862,35.4089,0.740096,0.0487569,5428,3333,3333,0.884343,9.09992,310.201,163231,4804,57.1448,37.5609,1189,310.201,1,312.573,5013677,37055.8,4780.79,30.8689,10.2342,11424.9,0.129016,57.1448,3.24341,0,latest,20034,5847886,0,0,1,1,1
51,60,1,10,1,6,2,10,0.8,0,1,0,1,100,0,1,10000,0.5,11.0076,27.0606,9.38088,63.5585,36.6318,1.32154,1.63269,89376,13663,13663,1.00944,19.4886,319.235,52130,75894,57.1096,20.7925,97,319.25,0,316.941,2705295,66194,7531.01,36.0893,13.7382,21175,0.113772,57.1096,3.12604,0,latest,20314,5386035,0,0,0,6,9
52,60,1,10,1,6,2,10,0.8,0,1,0,1,100,0,1,10000,0.5,11.0076,97.5965,0.445356,1.95815,0.699844,5.44323,7.055,6738,3,3,1.00944,19.9245,0.0468063,171608,5283,59.9744,1.19468,0,0.0468063,2,0.0312042,5135352,37564.3,5236.91,25.1384,11.5059,11712.9,0.139412,59.9744,3.20708,0,latest,2,8402489,0,0,2,1,1
53,60,1,10,1,6,2,10,0.8,0,1,0,1,100,0,1,10000,0.5,11.0077,69.0189,6.31096,24.6701,7.22892,0,0,0,4,4,1.01023,19.9205,0.0624084,227734,0,59.9744,15.9495,2,0.0624084,4,0,6324354,31079.3,4566.77,25.4422,10.4729,9511.29,0.146939,59.9744,3.26762,0,latest,0,8283798,0,0,4,1,1
54,60,1,10,1,6,2,10,0.8,0,1,0,1,100,0,1,10000,0.5,11.0077,89.715,2.72615,7.55886,3.09789,0,0,0,1,1,1.01023,19.9197,0.0156021,233299,0,59.9749,3.9653,0,0.0156021,1,0,7105059,28082.9,4251.17,26.869,9.97463,8465.31,0.151379,59.9749,3.31741,0,latest,0,8067072,0,0,1,0,0
55,60,1,10,1,6,2,10,0.8,0,1,0,1,100,0,1,10000,0.5,11.0077,80.995,3.58209,15.4229,4.27861,0,0,0,1,1,1.00944,19.919,0.0156021,233389,0,59.9756,10.2488,1,0.0156021,2,0,7262705,27674.1,4250.91,26.6876,10.0481,8280.44,0.153606,59.9756,3.34211,0,latest,0,8386735,0,0,2,0,0
56,60,1,10,1,6,2,10,0.8,0,1,0,1,100,0,1,10000,0.5,11.0077,100,0,0,0,0,0,0,0,0,1.00944,19.919,0,233108,0,59.9748,0,0,0,0,0,7247474,27733.9,4241.64,26.7958,10.0181,8299.01,0.15294,59.9748,3.34183,0,latest,0,8327796,0,0,0,0,0
57,60,1,10,1,6,2,10,0.8,0,1,0,1,100,0,1,10000,0.5,11.0077,69.0291,4.75728,26.2136,6.69903,0,0,0,1,1,1.00944,19.9182,0.0156021,233299,0,59.9743,17.9612,3,0.0156021,1,0,7211794,27872.3,4255.74,26.8111,10.0255,8340.59,0.152687,59.9743,3.34176,0,latest,0,8320579,0,0,1,0,0
58,60,1,10,1,6,2,10,0.8,0,1,0,1,100,0,1,10000,0.5,11.0077,100,0,0,0,0,0,0,0,0,1.00944,19.9182,0,233448,0,59.975,0,0,0,0,0,7234613,27785.9,4257.57,26.7716,10.0255,8314.3,0.153228,59.975,3.34194,0,latest,0,8348974,0,0,0,0,0
59,60,1,10,1,6,2,10,0.8,0,1,0,1,100,0,1,10000,0.5,11.0077,100,0,0,0,0,0,0,0,0,1.00944,19.9182,0,233385,0,59.9747,0,0,0,0,0,7291251,27568.6,4246.52,26.6925,10.0272,8249.95,0.154035,59.9747,3.34167,0,latest,0,8407210,0,0,0,0,0
