t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,c_backoff_strategy,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
16,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2873812,0,119.926,0,0,0,0,0,6203462,65006.7,7607.67,30.2824,14.1677,19445.8,0.117029,119.926,3.34298,0,latest,0,13724357,0,0,0,0,0
17,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2876462,0,119.925,0,0,0,0,0,6205240,64986.7,7603.56,30.2275,14.1559,19440.5,0.117002,119.925,3.34285,0,latest,0,13713620,0,0,0,0,0
18,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2875884,0,119.927,0,0,0,0,0,6207369,64971.3,7603.29,30.2123,14.168,19433.2,0.117025,119.927,3.34331,0,latest,0,13718186,0,0,0,0,0
19,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2869102,0,119.924,0,0,0,0,0,6199612,65043.4,7608.48,30.2346,14.1878,19456.8,0.116975,119.924,3.34297,0,latest,0,13714120,0,0,0,0,0
20,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2894502,0,119.923,0,0,0,0,0,6177728,65299.1,7630.02,30.2983,14.1949,19533.7,0.116847,119.923,3.34289,0,latest,0,13850173,0,0,0,0,0
21,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2876552,0,119.927,0,0,0,0,0,5889181,68480.1,7950.66,31.3605,14.6498,20481.4,0.116102,119.927,3.34352,0,latest,0,13804251,0,0,0,0,0
22,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2880273,0,119.923,0,0,0,0,0,5913634,68205.9,7923.99,31.3111,14.6158,20402.7,0.116177,119.923,3.34298,0,latest,0,13809262,0,0,0,0,0
23,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2880803,0,119.92,0,0,0,0,0,5905811,68298.5,7933.36,31.3553,14.6327,20427.3,0.116157,119.92,3.34349,0,latest,0,13808468,0,0,0,0,0
24,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2872144,0,119.923,0,0,0,0,0,5906411,68267.2,7930.86,31.3491,14.6279,20427.7,0.116174,119.923,3.34189,0,latest,0,13798810,0,0,0,0,0
25,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2878935,0,119.887,0,0,0,0,0,5916461,68136.5,7926.51,31.4003,14.6226,20384,0.116333,119.887,3.34264,0,latest,0,13814133,0,0,0,0,0
26,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2874187,0,119.912,0,0,0,0,0,5953729,67721.2,7896.24,32.1309,14.652,20261.7,0.116599,119.912,3.34233,0,latest,0,13820669,0,0,0,0,0
27,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2902516,0,119.883,0,0,0,0,0,5993974,67241.7,7833.4,31.3623,14.472,20118.6,0.116496,119.883,3.34226,0,latest,0,13912304,0,0,0,0,0
28,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2877600,0,119.901,0,0,0,0,0,5962784,67613.3,7884.97,32.0494,14.6374,20229.2,0.116619,119.901,3.34237,0,latest,0,13818119,0,0,0,0,0
29,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2876841,0,119.895,0,0,0,0,0,5933703,67948.6,7910.86,31.7335,14.6354,20321.7,0.116424,119.895,3.34365,0,latest,0,13804515,0,0,0,0,0
30,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2891384,0,119.907,0,0,0,0,0,5782714,69729.1,8169.32,32.0629,14.8002,20856.1,0.117158,119.907,3.34335,0,latest,0,13895193,0,0,0,0,0
31,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2898993,0,119.909,0,0,0,0,0,5462873,73802.9,8718.59,32.3437,15.2289,22078.2,0.118133,119.909,3.3428,0,latest,0,13879194,0,0,0,0,0
32,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2882643,0,119.914,0,0,0,0,0,5517160,73070.1,8654.73,31.7517,15.1331,21863.2,0.118444,119.914,3.34215,0,latest,0,13794194,0,0,0,0,0
33,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2902178,0,119.927,0,0,0,0,0,5558732,72549,8604.85,31.4195,15.0194,21699.6,0.118608,119.927,3.34334,0,latest,0,13921274,0,0,0,0,0
34,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2874288,0,119.924,0,0,0,0,0,5459544,73854.7,8738.92,31.8284,15.2227,22095.9,0.118326,119.924,3.34246,0,latest,0,13775564,0,0,0,0,0
35,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2896888,0,119.919,0,0,0,0,0,5542201,72782.5,8618.6,31.5153,15.052,21772.8,0.118416,119.919,3.34281,0,latest,0,13901184,0,0,0,0,0
36,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2880854,0,119.918,0,0,0,0,0,5400937,74656.9,8807.28,31.9415,15.2885,22341.4,0.11797,119.918,3.34164,0,latest,0,13788084,0,0,0,0,0
37,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2883448,0,119.923,0,0,0,0,0,5398388,74727,8809.65,31.9128,15.2921,22355.2,0.117891,119.923,3.34271,0,latest,0,13815200,0,0,0,0,0
