t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
13,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0075,100,0,0,0,0,0,0,0,0,1.00708,19.0858,0,233364,0,59.9759,0,0,0,0,0,6126913,32075.4,5737.46,25.4062,11.2222,9818.3,0.178874,59.9759,3.2669,0,latest,0,8372313,0,0,0,0,0
14,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0075,100,0,0,0,0,0,0,0,0,1.00708,19.0858,0,233431,0,59.9757,0,0,0,0,0,6135188,32524.6,5763.09,25.4471,11.2523,9805.09,0.177192,59.9757,3.31712,0,latest,0,8443379,0,0,0,0,0
15,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0075,73.0575,4.74268,22.1998,5.44904,0,0,0,1,1,1.00708,19.085,0.0156021,233523,0,59.9765,15.8426,2,0.0156021,1,0,6131948,32740.3,5777.06,25.5712,11.2613,9809.75,0.176451,59.9765,3.33753,0,latest,0,8484747,0,0,1,0,0
16,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,81.0315,3.58392,15.3846,7.77972,0,0,0,2,2,1.00708,19.0834,0.0312042,233454,0,59.9756,7.08042,0,0.0312042,2,0,6050012,33230.4,5816.62,25.9762,11.296,9943.3,0.175039,59.9756,3.34199,0,latest,0,8453699,0,0,2,0,0
17,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,89.2125,2.37325,8.41424,3.55987,0,0,0,1,1,1.00708,19.0826,0.0156021,233441,0,59.9769,4.31499,0,0.0156021,1,0,5471078,36748.8,6082.82,27.6539,11.5952,10995.8,0.165524,59.9769,3.34208,0,latest,0,8079482,0,0,1,0,0
18,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,84.03,4.28725,11.6827,4.71597,0,0,0,2,2,1.00708,19.081,0.0312042,233350,0,59.9766,6.32369,0,0.0312042,2,0,5468471,36767.1,6102.72,27.5864,11.6377,11001.3,0.165983,59.9766,3.34207,0,latest,0,8126149,0,0,2,0,0
19,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,100,0,0,0,0,0,0,0,0,1.00708,19.081,0,233524,0,59.9768,0,0,0,0,0,5467714,36768.2,6107.09,27.555,11.6325,11001.6,0.166097,59.9768,3.34208,0,latest,0,8118058,0,0,0,0,0
20,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,0.862811,17.9178,81.2194,29.9904,0.108278,0.00682064,153,558,558,0.528718,11.2769,156.474,206149,125,58.261,42.2658,588,156.786,1,165.928,4856669,39602.5,6423.28,28.861,11.8877,12027,0.162194,58.261,3.29279,0,latest,10637,7638966,0,0,1,0,0
21,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0075,21.3825,10.5055,68.112,37.4166,2.04193,1.21076,92322,17255,17255,1.00708,20.2644,506.772,14543,79955,55.7445,24.6742,391,506.507,1,497.427,2079972,83834.4,10538.7,38.9801,13.1932,26879.4,0.125709,55.7445,3.11891,0,latest,31880,4809618,0,0,1,9,10
22,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0075,97.848,0.348812,1.80323,1.20216,1.73783,9.35563,21145,21,21,1.00787,21.0795,0.327644,223326,16473,59.973,0.51076,0,0.327644,0,0.327644,5747860,33603.1,5887.13,24.5555,11.0636,10464,0.175196,59.973,3.21132,0,latest,21,8101655,0,0,0,1,3
23,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0075,100,0,0,0,2.89655,2.2069,330,0,0,1.00787,21.0606,0,233175,256,59.9759,0,0,0,0,0,5727104,34518.7,5960.19,24.5913,11.131,10501.5,0.172666,59.9759,3.28704,0,latest,0,8238843,0,0,0,0,0
24,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0076,64.7905,5.87867,29.3308,11.4447,0,0,0,4,4,1.00787,21.0574,0.0624084,233416,0,59.9751,16.6354,4,0.0624084,4,0,5812947,34567.5,5943.27,24.5544,11.133,10348.8,0.171932,59.9751,3.34023,0,latest,0,8395663,0,0,4,0,0
