t,tpcc_warehouse_count,tpcc_warehouse_affinity,c_tag,c_mutex,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_run_for_seconds,c_fs,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_split,c_cm_update_on,c_cm_period,c_cm_slowpath_threshold,c_su_kwaymerge,c_su_merge,c_su_target_pct,c_zipf_factor,c_backoff,c_hash,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,symbol
119,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.19,75313567,23.77,8.88,67.35,55.29,5.4,357980168762742,173234,85726,85727,0.41,4.66,19,2307.33,7388,164698,158152,8.33,3709,1504.75,3316,2266.74,26582,4
120,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.05,120196408,57.17,14.42,28.41,8,15.01,81722600834700.7,260146,586,586,0.75,6.74,19,3478.15,36,240904,235942,12.87,87322,2120.08,1942,3464,33981,1
120,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.2,75314231,24.75,8.94,66.31,53.97,5.61,442317405390078,183178,51370,51370,0.43,4.66,19,2432.82,3885,174097,167025,8.73,4763,1586.11,3602,2374.22,28104,4
121,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.08,120198328,57.7,14.11,28.19,7.8,15.66,76972880844729.3,260428,554,552,0.75,6.75,19,3356.9,36,241013,236008,12.92,87231,2050.62,1922,3312.05,32071,1
121,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.22,75315258,27.05,9.28,63.67,45.29,6.72,420378846719738,281401,64058,64058,0.44,4.67,19,3732.09,4604,267228,256588,13.81,11086,2432.46,5373,3688.79,42893,4
122,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.11,120200189,62.04,13.83,24.13,5.57,17.02,380918512249744,252085,539,541,0.74,6.75,19,3272.46,36,233508,228584,11.64,77193,1997.49,1862,3272.79,32043,1
122,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.24,75316556,28.03,10.8,61.17,39.51,6.91,113511930306206,313953,23705,23704,0.44,4.67,19,4165.84,1748,297991,285997,16.97,26034,2709.43,6273,4156.79,50057,4
123,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.14,120202085,63.44,13.7,22.86,4.67,15.42,155053293180569,257877,567,565,0.78,6.72,19,3427.04,32,238880,233964,11.34,82086,2088.28,1897,3299.88,32372,1
123,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.26,75317751,28.07,11.1,60.84,38.72,6.72,150365120890346,312805,20854,20854,0.45,4.67,19,4147.73,1514,297043,285049,17.4,26949,2695.89,6167,4111.16,49309,4
124,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.17,120204071,61.44,13.77,24.79,6.33,15.99,421166682532360,250713,560,562,0.8,6.67,19,3375.72,37,232339,227559,11.67,77354,2052.3,1988,3315.04,32985,1
124,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.27,75318722,27.79,9.77,62.44,45.34,6.25,141675972390319,239915,49241,49242,0.43,4.66,19,3211.93,3667,227884,218776,12.27,10361,2086.55,4884,3241.98,38891,4
125,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.2,120206018,64.46,13.15,22.39,4.96,16.58,151185526951501,257870,545,543,0.78,6.71,19,3251.42,32,239063,234181,11.06,74846,1981.53,1947,3267.52,32392,1
125,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.3,75320207,31.2,9.94,58.86,40.47,7.02,166437851489296,275454,38194,38194,0.42,4.65,19,3695.84,2704,261950,251458,13.9,17144,2393.94,5733,3697.47,45409,4
126,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.23,120208147,63.39,12.68,23.93,6.53,16.56,288221344403522,266743,524,525,0.65,6.83,19,3182.97,33,247167,242115,11.02,76399,1936.97,2130,3440.09,34421,1
126,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.31,75321327,29.1,10.26,60.64,41.18,6.72,206147833874892,299121,40811,40810,0.44,4.68,19,3914.98,2977,284101,272703,14.92,20136,2542.15,5808,3843.99,47353,4
127,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.26,120210168,61.11,14.52,24.37,4.99,18.09,385092397771791,252044,540,541,0.64,6.79,19,3360.06,37,233791,228986,12.18,78651,2053.46,2022,3354.67,33239,1
127,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.33,75322814,28.71,11.09,60.19,37.74,6.58,151687230253377,312571,18205,18205,0.45,4.67,19,4175.42,1387,297012,285331,17.74,27531,2716.9,6370,4134.79,51055,4
128,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.29,120212123,63.31,13.41,23.28,5.3,16.17,1202964736989.91,249759,560,560,0.71,6.72,19,3422.48,35,231386,226575,11.25,79226,2079.5,1956,3233.63,32491,1
128,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.36,75324146,28.14,10.69,61.17,39.86,6.6,93112190456744.2,302036,22400,22400,0.45,4.66,19,4029.26,1682,286929,275528,16.84,24455,2616.86,6021,3998.82,49524,4
129,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.32,120214186,63.61,12.83,23.56,6.23,16.68,109904165888169,259162,512,512,0.63,6.79,19,3200.06,32,240164,235188,10.95,75467,1940.01,2064,3357.82,34309,1
129,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.37,75325344,26.75,10.59,62.66,40.63,6.46,218846891480246,311289,24730,24731,0.45,4.66,19,4121.53,1821,295330,283566,17.36,24535,2674.61,6089,4098.94,50374,4
130,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.35,120216194,59.78,13.99,26.24,6.67,14.55,151617805381856,257774,572,569,0.72,6.72,19,3502.94,34,238889,234078,12.44,87517,2129.53,2011,3267.46,33358,1
130,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.4,75326810,28.92,11.21,59.87,37.47,6.56,453249658191742,316858,17211,17211,0.47,4.67,19,4180.82,1215,300982,289150,17.73,28085,2711.79,6325,4125.15,51752,4
131,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.38,120218143,53.08,14.73,32.19,11.1,14.36,320324262771108,253113,541,542,0.73,6.7,19,3339.91,34,234796,229962,13.29,93636,2027.09,1951,3281.56,33306,1
131,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.42,75328275,24.78,9.32,65.89,46.82,6.17,385766360269166,269996,63818,63818,0.44,4.65,19,3625.15,4650,256522,246481,14.44,12442,2349.72,5590,3665.98,46959,4
132,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.42,120220251,52.18,14.84,32.98,11.4,13.9,345782836622861,252158,559,560,0.72,6.66,19,3356.14,34,234121,229256,13.62,95133,2045.44,2110,3335.87,34150,1
132,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.44,75329477,31.58,9.71,58.71,39.84,6.91,230034747977236,286155,36915,36915,0.46,4.65,19,3790.66,2651,271937,261190,14.3,16145,2459.7,5617,3716.95,47425,4
133,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.45,120222385,55.99,13.61,30.39,10.41,15.33,395634742699375,263508,527,528,0.67,6.76,19,3210.17,35,244541,239580,12.69,85030,1947.67,2135,3291.5,34321,1
133,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.46,75330823,28.62,11.05,60.33,38.21,6.44,289864251326006,309143,18921,18921,0.43,4.66,19,4060.11,1440,293544,281829,17.42,29227,2626.05,6173,4110.53,52990,4
134,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.48,120224520,61.08,13.94,24.99,6.03,15.56,309896083711095,253656,659,658,0.72,6.68,19,3472.39,44,234961,230102,12.12,81294,2117.03,2138,3324.06,33738,1
134,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.48,75332014,27.39,10.5,62.11,41.02,6.63,203398860919807,299023,39511,39510,0.47,4.65,19,3994.03,2885,284158,272878,16.34,21247,2588.17,5905,3888.64,49946,4
135,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.51,120226486,59.78,13.23,26.99,7.92,15.6,403324184783539,263233,520,520,0.7,6.78,19,3187.4,33,244177,239008,12.17,81066,1930.79,1966,3203.24,32640,1
135,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.49,75332876,23.06,8.62,68.32,50.04,5.94,317727283532807,247668,100954,100955,0.46,4.65,19,3285.68,7812,235149,225625,13.39,5734,2120.61,4881,3304.54,42243,4
136,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.54,120228578,51.11,15.36,33.53,11.3,14.67,207221590523048,256308,564,565,0.71,6.73,19,3435.19,36,237822,232983,13.99,94454,2093.94,2094,3389.93,35235,1
136,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.51,75334326,27.15,9.57,63.28,43.73,6.95,143440787559994,300466,61957,61956,0.44,4.65,19,3975.01,4319,285688,274243,14.77,12154,2574.13,6109,3985.98,52332,4
137,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.58,120230734,59.23,14.06,26.72,7.4,15.83,333183695427094,253186,592,592,0.69,6.7,19,3339.41,37,234654,229844,12.19,81816,2029.96,2159,3338.63,34817,1
137,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.53,75335481,25.94,9.27,64.79,45.46,6.68,111462245046036,289438,66583,66584,0.42,4.63,19,3843.19,4752,274930,263805,14.56,11383,2492.47,5785,3886.22,50466,4
138,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.61,120232831,65.58,12.99,21.43,4.36,16.01,322443602062604,265288,534,534,0.7,6.75,19,3332.13,32,246026,240916,10.65,77270,2018.59,2099,3275.1,34466,1
138,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.54,75336493,26.43,9.33,64.24,44.91,6.73,277872714870731,297194,62343,62343,0.44,4.64,19,3916.91,4540,282337,271120,14.64,11432,2538.98,5680,3837.25,50483,4
139,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.64,120235032,61.01,14.19,24.8,5.51,15.26,171726770027433,257176,561,558,0.72,6.66,19,3536.72,34,238462,233595,12.18,85187,2145.34,2201,3464.25,36591,1
139,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.56,75337671,28.29,9.73,61.98,42.82,7.02,14745788646899.1,279800,68850,68850,0.43,4.64,19,3687.75,4911,265767,255141,14.25,10349,2389.68,5621,3705.14,48621,4
140,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.68,120237317,58.36,14.37,27.27,7.44,18.64,45980228890165,273473,521,524,0.57,6.84,19,3105.18,35,253516,248242,12.34,76130,1890.6,2287,3431.7,35872,1
140,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.57,75338364,30.13,11.07,58.8,37.21,7.02,411345328975183,318118,23481,23480,0.47,4.67,19,4150.44,1691,302057,289882,16.94,26679,2690.32,5910,4030.18,53681,4
141,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.71,120239405,61.91,13.83,24.26,5.37,13.97,289448432476146,253169,576,576,0.7,6.72,19,3569.39,36,234915,230175,11.9,88122,2168.05,2088,3211.79,33589,1
141,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.59,75339436,27.6,10.55,61.84,41,6.81,231296209233343,298280,41763,41764,0.5,4.68,19,3930.58,3213,283492,272207,16.12,20282,2548.84,5877,3847.81,51535,4
142,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.74,120241572,65.15,12.96,21.89,4.39,16.19,424504440692606,262617,557,557,0.68,6.78,19,3253.09,34,243524,238467,11.04,75210,1971.03,2167,3274.27,34676,1
142,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.61,75340573,25.48,9.86,64.66,44.78,6.38,376482483278217,270453,65856,65856,0.48,4.65,19,3630.74,4848,256756,246517,15.05,14460,2353.88,5446,3653.48,49471,4
143,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.77,120243805,56.93,14.93,28.15,7.13,16.66,427471095788270,263621,595,595,0.67,6.77,19,3406.32,38,244231,239211,13.41,82638,2075.77,2236,3406.13,35873,1
143,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.62,75341821,26.18,9.25,64.57,45.31,6.69,98677871503740.4,289894,59243,59243,0.47,4.65,19,3827.07,4375,275242,264246,14.59,12355,2483.7,5836,3853.14,51497,4
144,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.81,120246108,60.71,13.1,26.19,7.75,15.85,222918828274058,268283,512,512,0.55,6.89,19,3193.83,32,248840,243801,11.74,79533,1935.46,2309,3430.11,36530,1
144,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.64,75342772,25.52,9.08,65.4,47.47,6.33,47249714923655.3,254767,81444,81444,0.46,4.64,19,3360.06,5912,241819,232201,13.27,6765,2181.14,5042,3366.65,45810,4
145,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.84,120248121,63.77,13.56,22.67,4.78,15.05,203663348799172,244070,560,560,0.69,6.77,19,3426.71,35,226039,221388,11.19,79056,2077.17,2015,3073.6,32978,1
145,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.65,75343675,28.35,10.33,61.32,40.9,6.91,234481452595788,310388,36902,36902,0.48,4.67,19,4045.6,2645,294968,283090,15.83,19318,2621.28,5939,3983.8,54196,4
146,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.87,120250326,64.27,12.11,23.62,7.39,17.74,25191675729626.6,248907,514,514,0.58,6.88,19,2943.78,33,230799,225957,10.2,69942,1789.56,2205,3174.55,34123,1
146,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.67,75344590,31.33,12.29,56.38,32.79,6.88,331440271250844,320299,8574,8573,0.49,4.69,19,4156.87,663,304059,291846,18.8,35752,2702.39,6192,4102.42,56740,4
147,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.91,120252380,66.17,12.98,20.85,3.87,16.23,160554364063816,245095,512,512,0.61,6.86,19,3206.64,32,227300,222367,10.59,74260,1950.42,2056,3099.31,33186,1
147,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.68,75345434,30.87,12.14,56.99,33.45,6.43,295414972107530,308991,8054,8055,0.5,4.67,19,4104.79,628,293338,281488,18.71,39012,2658.55,5902,4079.73,55860,4
148,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.94,120254589,61.8,13.68,24.51,5.78,14.97,373404200794413,251753,576,576,0.63,6.8,19,3379.75,36,233249,228497,11.85,80506,2052.63,2213,3283,35009,1
148,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.7,75346535,29.51,11.61,58.88,35.77,6.43,356531609943628,307434,10792,10792,0.47,4.67,19,4052.01,813,291816,280176,18.4,33934,2637.07,6065,4097.57,57386,4
149,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1834.97,120256822,58.2,13.94,27.86,8.01,14.03,167482902801033,256940,536,533,0.68,6.78,19,3374.36,31,238472,233679,12.68,89334,2051.18,2233,3223.22,35520,1
149,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.71,75347443,29.3,11.49,59.21,36.38,6.4,212030640059365,311330,11014,11014,0.47,4.67,19,4093.09,871,295475,283645,18.14,34847,2667.43,5935,4075.8,56717,4
150,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1835.01,120258973,60.03,14.07,25.9,6.54,15.8,294354366833783,241293,626,629,0.73,6.66,19,3394.41,44,224011,219385,12.21,86474,2065.75,2152,3246.96,35155,1
150,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.73,75348672,30.14,11.87,57.99,35.01,6.31,291973087469186,309103,8440,8440,0.44,4.68,19,4052.37,675,293467,281667,18.27,37201,2638.57,6200,4100.52,57862,4
151,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1835.04,120261243,58.9,13.93,27.17,7.09,16.09,52195085794247.8,260580,544,544,0.63,6.7,19,3246.69,34,241687,236621,12.77,80738,1980.38,2274,3453.17,37434,1
151,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.75,75349770,27.25,10.54,62.21,40.26,6.64,86888048801335.2,314475,27793,27792,0.44,4.66,19,4161.13,2081,298651,286562,17.26,24479,2714.17,6207,4146.68,58244,4
152,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1835.07,120263416,54.77,14.09,31.14,10.43,13.82,92291715532174.4,259299,538,536,0.66,6.74,19,3274.23,32,240545,235605,13.33,92230,1988.33,2174,3158.01,34207,1
152,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.76,75350659,25.64,9.93,64.42,44.78,6.28,249175800381559,261427,62306,62307,0.45,4.64,19,3487.62,4820,248356,238255,14.93,16563,2276.27,5237,3465.67,50045,4
153,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1835.11,120265556,53.05,14.41,32.54,11.89,14.38,954580066213.44,249656,695,697,0.74,6.67,19,3391.71,46,231399,226775,13.1,87412,2063.24,2142,3182.41,34576,1
153,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.77,75351393,29.22,9.8,60.98,43.07,6.91,21805553011676.9,279635,55215,55213,0.43,4.63,19,3685.03,3910,265588,254643,13.52,10918,2406.67,5498,3708.82,53165,4
154,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1835.14,120267786,55.73,14.21,30.06,9.8,14.7,425979253155325,262846,561,561,0.75,6.69,19,3321.6,34,243613,238587,12.84,89988,2026.37,2234,3263.34,35727,1
154,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.78,75352092,26.99,9.1,63.91,47.53,6.62,44408972186696.3,242185,63350,63352,0.43,4.63,19,3188.96,4753,230316,221011,12.02,9966,2081.46,4654,3172.42,45833,4
155,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1835.17,120269981,54.6,13.83,31.57,11.56,15.16,72269860512287.6,260325,514,514,0.65,6.78,19,3135.54,35,241185,236206,12.6,84527,1913.71,2196,3339.77,36915,1
155,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.79,75352666,26,8.54,65.46,52.11,5.42,449959417246961,195287,48586,48586,0.44,4.63,19,2575.78,3797,185483,177993,9.76,8065,1683.25,3824,2563.65,36586,4
156,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1835.21,120272182,55.72,14.3,29.98,9.68,14.26,432278237716988,262418,547,544,0.7,6.79,19,3352.22,32,243146,237989,13.03,87875,2031.64,2206,3189.09,35169,1
156,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.8,75353462,28.14,10.02,61.84,42.65,6.89,261541920675343,285268,43936,43935,0.43,4.64,19,3719.45,3207,271151,260154,14.55,17179,2436,5491,3710.48,53253,4
157,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1835.24,120274382,53.84,14.8,31.36,10.02,14.56,150064250333294,245628,715,718,0.76,6.69,19,3375.63,63,227626,222826,13.37,90877,2066.02,2203,3209.64,35583,1
157,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.81,75354200,24.27,9.39,66.33,50.34,6.15,346999114422139,222347,76624,76625,0.42,4.62,19,2958.89,5950,211278,202783,11.57,6324,1936.25,4364,2979.3,42558,4
158,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1835.27,120276576,54.19,13.63,32.18,12.5,15.17,216913674620074,256421,512,512,0.68,6.79,19,3071.9,32,237626,232871,12.52,82979,1878.67,2198,3218.42,35724,1
158,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.82,75354738,23.92,9.42,66.66,50.37,6.39,292332814943374,223678,86217,86217,0.41,4.63,19,2930.58,6604,212602,203894,11.65,5147,1920.48,4315,2942.84,42627,4
159,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1835.31,120278788,55.28,14.21,30.52,9.99,13.69,320914736009434,253185,559,559,0.75,6.72,19,3405.27,34,234425,229537,12.86,93128,2076.86,2214,3203.08,36144,1
159,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.83,75355580,29.74,10.42,59.84,39.66,7.14,338694771786103,307461,35012,35012,0.41,4.65,19,3984.73,2437,292358,280518,15.54,20180,2615.32,5820,3982.92,57922,4
160,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1835.34,120281064,58.32,13.56,28.11,8.81,15.66,169705374295616,270192,528,526,0.7,6.87,19,3139.5,33,250197,245117,12.3,81262,1915.53,2278,3234.04,36077,1
160,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.85,75356477,27,9.94,63.06,43.38,6.2,233886672503804,261910,50832,50832,0.38,4.61,19,3525.5,3752,248711,238586,14.89,18617,2317.43,5238,3575.07,52270,4
161,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1835.38,120283462,51.73,14.89,33.38,11.73,14.21,247045435284812,243183,561,563,0.7,6.74,19,3392.06,36,225194,220508,13.8,92583,2077.92,2402,3335.61,37557,1
161,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1149.86,75357053,28.9,9.38,61.72,48.33,5.84,275049486022831,199728,45712,45712,0.39,4.61,19,2621.22,3545,189830,182020,9.61,6775,1724.24,3984,2599.17,38380,4
