t,tpcc_warehouse_count,tpcc_warehouse_affinity,c_tag,c_mutex,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_run_for_seconds,c_fs,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_split,c_cm_update_on,c_cm_period,c_cm_slowpath_threshold,c_su_kwaymerge,c_su_merge,c_su_target_pct,c_zipf_factor,c_backoff,c_hash,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,symbol
6,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1167.67,76524533,28.74,5.86,65.4,49.7,5.09,299921638299605,211233,106576,106576,0.39,4.65,19,2093.26,8548,200893,138074,11.34,3874,1990.36,3369,2856.29,14739,4
7,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1828.65,119842653,17.79,9.37,72.84,59.76,3.76,447712638559103,110075,63002,63002,0.34,4.71,19,1595.19,4942,104561,102686,8.24,4111,1555.33,46,1591.84,6926,1
7,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1832.07,120066788,0.03,17.88,82.09,37.76,0.01,447669422267801,81,948,947,0.56,14.14,19,3747.71,59,65,64,28.06,193276,3745.46,130,3708.17,17778,1
7,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1166.92,76475213,27.72,5.99,66.29,49.34,5.05,180747064249369,202386,134443,134443,0.4,4.65,19,2051.46,10706,192274,133961,12.11,3784,1941.11,3107,2801.02,14747,4
8,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1828.65,119842713,17.1,8.9,74,56.73,4.65,296403162629191,150503,81171,81171,0.35,4.72,19,2168.38,5895,143081,140473,12.31,7477,2107.39,67,2143.78,9883,1
8,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1832.08,120066897,0.83,17.06,82.1,39.84,0.21,364079199768480,2595,9198,9198,0.68,12.53,19,3794.32,1377,2255,2207,26.46,174687,3793.06,127,3498.41,17609,1
8,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1166.18,76426956,28.57,6.62,64.81,49.28,5.06,432310408247647,207769,82644,82644,0.35,4.64,19,2168.07,5890,197592,139737,11.2,5444,2039.79,3350,3020.8,16158,4
9,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1828.66,119842786,15.2,9.53,75.27,57.17,5,31625780262907.1,145172,118565,118565,0.36,4.72,19,2085.75,8724,138075,135440,12.51,7355,2020.55,74,2054.61,9570,1
9,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1832.08,120066991,0.94,16.54,82.52,40.5,0.21,348072822567778,3013,8326,8326,0.71,10.98,19,3667.88,1635,2652,2603,26.91,168990,3667.87,115,3603.49,17897,1
9,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1165.47,76380437,29.85,7.12,63.03,48.56,5.12,141307353977524,203199,52307,52307,0.38,4.65,19,2098.31,3902,193166,137690,10.56,7819,1957.99,2823,2765.86,14738,4
10,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1828.66,119842846,15.74,9.69,74.57,54.84,5.14,378832593917312,148606,137700,137701,0.36,4.72,19,2143.46,10041,141194,138595,13.68,7780,2069.71,62,2146.15,10069,1
10,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1832.08,120067115,2.41,15,82.59,44.46,0.63,134063621247485,9158,22244,22245,0.73,9.49,19,3618.86,5124,8175,8005,23.97,141898,3618.88,138,3557.05,18084,1
10,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1164.73,76331591,29.59,6.65,63.77,46.84,5.47,180831140434129,226657,85050,85050,0.4,4.65,19,2375.41,6012,215382,156274,12.38,5048,2202.72,3457,3084.3,17681,4
11,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1828.66,119842912,15.23,9.89,74.89,55.93,5.24,192015878027954,141263,160010,160008,0.37,4.72,19,2026.51,12600,134188,131644,13.11,7309,1948,70,1997.73,9588,1
11,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1832.08,120067243,1.2,16.01,82.78,42.63,0.33,284190287932109,4739,9365,9365,0.74,7.99,19,3587.24,2534,4318,4235,26.25,167848,3590.23,137,3578.34,18859,1
11,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1164.14,76293078,26.87,6.36,66.77,53.19,4.53,377381986310102,185022,70646,70646,0.39,4.65,19,1975.1,5168,175789,128909,9.87,5282,1825.88,2683,2607.14,14666,4
12,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1828.66,119842968,14.75,9.83,75.41,56.29,4.94,472044840647933,134291,189432,189433,0.37,4.72,19,1939.69,15346,127493,125207,12.95,6361,1862.5,59,1955.01,9625,1
