t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_cm_merge,c_su_merge,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,cm_threads_pro_page,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
15,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78314,100,0,0,0,0,0,0,0,0,81.6113,0,18446744073709551545,0,131131,0,0,119.919,0,0,0,0,0,290194770,1125.53,2189.44,0.676536,0.369251,415.664,1.94524,119.919,2.70779,0,contention,0,788892,0,0,0,0,0
16,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78316,100,0,0,0,0,0,0,0,0,81.6112,0,18446744073709551545,0,130944,0,0,119.914,0,0,0,1,0,293221662,1111.61,2182.37,0.640235,0.374423,411.338,1.96325,119.914,2.70243,0,contention,0,718080,0,0,1,0,0
17,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78317,100,0,0,0,0,0,0,0,0,81.611,0,18446744073709551545,0,130869,0,0,119.923,0,0,0,1,0,294906804,1103.53,2177.9,0.607648,0.375311,409.026,1.97359,119.923,2.69793,0,contention,0,695801,0,0,1,0,0
18,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78319,100,0,0,0,0,0,0,0,0,81.6109,0,18446744073709551545,0,130689,0,0,119.925,0,0,0,1,0,297157306,1093.53,2182.59,0.571045,0.384634,405.908,1.99591,119.925,2.69403,0,contention,0,610251,0,0,1,0,0
19,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.7832,100,0,0,0,0,0,0,0,0,81.6107,0,18446744073709551545,0,130174,0,0,119.913,0,0,0,1,0,298549587,1084.82,2180.37,0.56446,0.378898,403.988,2.0099,119.913,2.68527,0,contention,0,640851,0,0,1,0,0
20,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.7832,100,0,0,0,0,0,0,0,0,81.6107,0,18446744073709551545,0,130053,0,0,119.912,0,0,0,0,0,297558925,1087.92,2179.43,0.559933,0.380359,405.341,2.0033,119.912,2.68397,0,contention,0,614109,0,0,0,0,0
21,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.7832,100,0,0,0,0,0,0,0,0,81.6107,0,18446744073709551545,0,130380,0,0,119.915,0,0,0,0,0,296212456,1096.1,2182.17,0.577518,0.38295,407.193,1.99084,119.915,2.69185,0,contention,0,892709,0,0,0,0,0
22,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.7832,100,0,0,0,0,0,0,0,0,81.6107,0,18446744073709551545,0,130305,0,0,119.927,0,0,0,0,0,296754644,1092.76,2180.54,0.568132,0.380413,406.466,1.99546,119.927,2.68843,0,contention,0,605597,0,0,0,0,0
23,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.7832,100,0,0,0,0,0,0,0,0,81.6107,0,18446744073709551545,0,129494,0,0,119.926,0,0,0,0,0,298255333,1082.52,2178.68,0.554358,0.370165,404.405,2.01261,119.926,2.67682,0,contention,0,378282,0,0,0,0,0
24,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78323,100,0,0,0,0,0,0,0,0,81.6104,0,18446744073709551545,0,129669,0,0,119.922,0,0,0,2,0,299138898,1078.82,2172.6,0.541648,0.379622,403.191,2.01387,119.922,2.6757,0,contention,0,362021,0,0,2,0,0
