t,c_hash,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9
8,14027147587509752595,0,merge,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37663683,3950
9,14027147587509752595,0,merge,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36565319,3731
10,14027147587509752595,0,merge,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16916125,1659
11,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,18382,10290,0,18452,0,0,0,0,0,0,110718,0
12,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,55877,29248,0,98694,0,0,0,0,0,0,592160,0
13,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,43030,19590,0,246561,0,0,0,0,0,0,1479384,0
14,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,17013,6709,0,429124,0,0,0,0,0,0,2574741,0
15,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,4759,1729,0,503651,0,0,0,0,0,0,3021903,0
16,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,1573,567,0,532180,0,0,0,0,0,0,3193079,0
17,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,705,235,0,535066,0,0,0,0,0,0,3210402,0
18,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,324,123,0,535083,0,0,0,0,0,0,3210495,0
19,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,174,55,0,538853,0,0,0,0,0,0,3233122,0
20,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,74,22,0,539307,0,0,0,0,0,0,3235835,0
21,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,48,21,0,531250,0,0,0,0,0,0,3187495,0
22,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,40,12,0,538695,0,0,0,0,0,0,3232176,0
23,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,19,7,0,537436,0,0,0,0,0,0,3224616,0
24,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,11,3,0,537175,0,0,0,0,0,0,3223054,0
25,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,2,0,0,537491,0,0,0,0,0,0,3224948,0
26,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,6,3,0,539937,0,0,0,0,0,0,3239626,0
27,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,0,0,0,537126,0,0,0,0,0,0,3222746,0
28,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,2,2,0,541063,0,0,0,0,0,0,3246380,0
29,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,2,0,0,540947,0,0,0,0,0,0,3245679,0
30,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,3,0,0,538868,0,0,0,0,0,0,3233215,0
31,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,4,2,0,538030,0,0,0,0,0,0,3228174,0
32,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,1,1,0,537335,0,0,0,0,0,0,3224004,0
33,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,3,1,0,537265,0,0,0,0,0,0,3223599,0
34,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,3,1,0,536600,0,0,0,0,0,0,3219596,0
35,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,2,1,0,540214,0,0,0,0,0,0,3241291,0
36,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,2,1,0,540157,0,0,0,0,0,0,3240934,0
37,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,0,0,0,540882,0,0,0,0,0,0,3245300,0
38,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,0,0,0,544060,0,0,0,0,0,0,3264353,0
39,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,0,0,0,537482,0,0,0,0,0,0,3224893,0
40,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,0,0,0,541418,0,0,0,0,0,0,3248512,0
41,14027147587509752595,0,merge,0,0,0,0,0,0,0,0,0,0,0,318470,0,0,0,0,0,0,1910804,0
0,4954205518123341369,0,merge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4954205518123341369,0,merge,0,0,4762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120914177,25992
2,4954205518123341369,0,merge,0,0,1541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129947494,9362
3,4954205518123341369,0,merge,0,0,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152210625,6695
