t,name,c_hash,cycle,cycle-kernel,instr,L1-miss,LLC-miss,br-miss,task,IPC,CPU,GHz
19,merge,14027147587509752595,4222554724.61,7327957.67,2652655289.59,35309091.55,19985962.16,22451093.74,1000210381.00,0.63,1.00,4.22
20,merge,14027147587509752595,4212090228.99,6954993.20,2647693931.67,35110709.71,19681731.74,22442221.26,1000176993.00,0.63,1.00,4.21
21,merge,14027147587509752595,4169764983.74,9905573.67,2608467267.82,34730874.60,20072783.97,22137268.35,1000063247.00,0.63,1.00,4.17
22,merge,14027147587509752595,4199886859.23,7258972.69,2644453793.89,35068553.69,19854009.31,22419325.97,1000233981.00,0.63,1.00,4.20
23,merge,14027147587509752595,4205853388.81,8208635.91,2637742358.76,34851978.17,20018939.82,22376284.86,1000040485.00,0.63,1.00,4.21
24,merge,14027147587509752595,4194772755.58,8046110.00,2636548983.86,34794578.85,19920410.78,22351588.94,1000204045.00,0.63,1.00,4.19
25,merge,14027147587509752595,4203782701.32,8045384.82,2636567000.64,34800464.92,19704704.11,22358218.99,1000129729.00,0.63,1.00,4.20
26,merge,14027147587509752595,4215535549.97,5752452.58,2649049299.38,34914217.34,19852102.82,22475612.13,1000301549.00,0.63,1.00,4.21
27,merge,14027147587509752595,4214015089.06,5688211.25,2636248237.12,34796908.43,20062393.36,22327509.55,1000206334.00,0.63,1.00,4.21
28,merge,14027147587509752595,4189494808.21,10671115.22,2635763642.37,34884704.78,19841838.77,22343773.18,1000305355.00,0.63,1.00,4.19
29,merge,14027147587509752595,4252154497.13,7042689.38,2671574118.29,35243357.34,19916992.65,22633322.62,1006747341.00,0.63,1.00,4.22
30,merge,14027147587509752595,4210759147.27,7389655.19,2643038655.52,34897822.25,19906239.26,22422366.92,1000154030.00,0.63,1.00,4.21
31,merge,14027147587509752595,4211600626.31,6476766.15,2640484190.25,34834514.25,19856691.02,22368418.99,1000055468.00,0.63,1.00,4.21
32,merge,14027147587509752595,4192893547.52,9924453.45,2634116335.19,34836813.37,19765141.06,22370220.83,1000222724.00,0.63,1.00,4.19
