t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_contention_management,ycsb_read_ratio,ycsb_target_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,120,1,1,4,6,200,100,0.75,0,0,0,100,1.52588e-05,100,0,0,0,0,0,0,0,0,100,0,0,101083,0,1.24585,0,0,0,1,0,0,inf,inf,inf,inf,inf,1.05539,1.24585,0.730815,0,ycsb,0,0,0,0,0,0,0
1,120,1,1,4,6,200,100,0.75,0,0,0,100,16.5513,100,0,0,0,0,0,0,0,0,91.4679,0,0,1901625,0,118.914,0,0,0,1084747,0,0,inf,inf,inf,inf,inf,1.82065,118.914,2.75651,0,ycsb,0,0,124270,0,0,0,0
2,120,1,1,4,6,200,100,0.75,0,0,0,100,35.3711,100,0,0,0,0,0,0,0,0,81.7634,0,0,1926980,0,119.886,0,0,0,1233363,0,0,inf,inf,inf,inf,inf,2.00396,119.886,2.77384,0,ycsb,0,0,6760,0,0,0,0
3,120,1,1,4,6,200,100,0.75,0,0,0,100,54.2536,100,0,0,0,0,0,0,0,0,72.027,0,0,1919409,0,119.886,0,0,0,1237479,0,0,inf,inf,inf,inf,inf,2.00193,119.886,2.77326,0,ycsb,0,0,8953,0,0,0,0
4,120,1,1,4,6,200,100,0.75,0,0,0,100,73.1478,100,0,0,0,0,0,0,0,0,62.2847,0,0,1922646,0,119.892,0,0,0,1238262,0,0,inf,inf,inf,inf,inf,2.00481,119.892,2.77089,0,ycsb,0,0,7307,0,0,0,0
5,120,1,1,4,6,200,100,0.75,0,0,0,100,91.9781,100,0,0,0,0,0,0,0,0,52.5754,0,0,1926382,0,119.881,0,0,0,1234061,0,0,inf,inf,inf,inf,inf,1.99213,119.881,2.77234,0,ycsb,0,0,12313,0,0,0,0
6,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2247586,0,103.324,0,0,0,998663,0,0,inf,inf,inf,inf,inf,1.82681,103.324,2.83784,0,ycsb,0,0,286974,0,0,0,0
7,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,3738569,0,0.997325,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44794,0.997325,3.31234,0,ycsb,0,0,0,0,0,0,0
8,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,3760888,0,0.997368,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44326,0.997368,3.33662,0,ycsb,0,0,0,0,0,0,0
9,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,3765704,0,0.997377,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44335,0.997377,3.33708,0,ycsb,0,0,0,0,0,0,0
10,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,3765076,0,0.997438,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44367,0.997438,3.33722,0,ycsb,0,0,0,0,0,0,0
11,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,3755708,0,0.997387,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44354,0.997387,3.32822,0,ycsb,0,0,0,0,0,0,0
12,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,3768487,0,0.997398,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44361,0.997398,3.33791,0,ycsb,0,0,0,0,0,0,0
13,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,3765229,0,0.997397,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44371,0.997397,3.33518,0,ycsb,0,0,0,0,0,0,0
14,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,3763064,0,0.997376,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44331,0.997376,3.33711,0,ycsb,0,0,0,0,0,0,0
15,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,3763803,0,0.997439,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44364,0.997439,3.33594,0,ycsb,0,0,0,0,0,0,0
16,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,3759960,0,0.997397,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.4433,0.997397,3.33404,0,ycsb,0,0,0,0,0,0,0
17,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,3763578,0,0.997408,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44335,0.997408,3.33503,0,ycsb,0,0,0,0,0,0,0
18,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,3763732,0,0.997373,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44322,0.997373,3.33607,0,ycsb,0,0,0,0,0,0,0
19,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,3759176,0,0.997358,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44311,0.997358,3.33395,0,ycsb,0,0,0,0,0,0,0
20,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,3338682,0,42.2888,0,0,0,0,0,11904667,6633.08,9364.64,45.6475,15.3236,3580.59,1.41181,42.2888,1.85251,0,ycsb,0,3763,0,0,0,0,0
21,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2546425,0,119.807,0,0,0,0,0,34664991,6474.94,8957.8,45.097,15.2327,3483.59,1.38346,119.807,1.85869,0,ycsb,0,11262,0,0,0,0,0
22,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2388750,0,119.836,0,0,0,0,0,39556895,6767.68,8965.2,44.4973,15.2498,3049.08,1.32471,119.836,2.21958,0,ycsb,0,11168,0,0,0,0,0
23,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2045626,0,119.827,0,0,0,0,0,45005070,7140.88,8970.43,43.6648,15.2597,2680.06,1.25621,119.827,2.66445,0,ycsb,0,10919,0,0,0,0,0
24,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2045452,0,119.831,0,0,0,0,0,45038525,7132,8965.33,43.5576,15.2491,2677.86,1.25706,119.831,2.66332,0,ycsb,0,10930,0,0,0,0,0
25,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2038626,0,119.839,0,0,0,0,0,44972760,7134.09,8965.38,43.618,15.2517,2682.26,1.2567,119.839,2.65973,0,ycsb,0,10892,0,0,0,0,0
26,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2047301,0,119.843,0,0,0,0,0,45069053,7126.24,8959.98,43.5169,15.2414,2676.86,1.25732,119.843,2.66217,0,ycsb,0,10797,0,0,0,0,0
27,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2035016,0,119.838,0,0,0,0,0,44970223,7129.64,8969.08,43.5647,15.2556,2682.35,1.258,119.838,2.65798,0,ycsb,0,11059,0,0,0,0,0
28,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2038451,0,119.837,0,0,0,0,0,44910750,7127.56,8964.93,43.6508,15.2507,2685.56,1.25778,119.837,2.65403,0,ycsb,0,10870,0,0,0,0,0
29,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2039065,0,119.838,0,0,0,0,0,44935149,7125.1,8965.72,43.5525,15.2519,2684.42,1.25833,119.838,2.65425,0,ycsb,0,11049,0,0,0,0,0
30,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2032651,0,119.837,0,0,0,0,0,44904359,7123.21,8965.19,43.6324,15.2491,2686.4,1.25859,119.837,2.65159,0,ycsb,0,10908,0,0,0,0,0
31,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2041811,0,119.838,0,0,0,0,0,45013401,7101.7,8936.95,43.523,15.2018,2679.59,1.25843,119.838,2.65029,0,ycsb,0,11020,0,0,0,0,0
32,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2037754,0,119.832,0,0,0,0,0,44944918,7111.32,8954.42,43.5167,15.2329,2683.87,1.25918,119.832,2.64965,0,ycsb,0,10921,0,0,0,0,0
33,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2034172,0,119.843,0,0,0,0,0,44875368,7117.66,8964.66,43.6099,15.2504,2688.1,1.25949,119.843,2.64784,0,ycsb,0,11076,0,0,0,0,0
34,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2033436,0,119.818,0,0,0,0,0,44856895,7116.22,8964.74,43.5871,15.2508,2688.47,1.25976,119.818,2.64694,0,ycsb,0,11156,0,0,0,0,0
35,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2027245,0,119.83,0,0,0,0,0,44887714,7113.32,8965.15,43.5346,15.2506,2687.33,1.26033,119.83,2.64698,0,ycsb,0,10819,0,0,0,0,0
36,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2038488,0,119.837,0,0,0,0,0,45190112,7055.53,8884.05,43.2367,15.1123,2669.05,1.25916,119.837,2.64346,0,ycsb,0,11230,0,0,0,0,0
37,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2025443,0,119.828,0,0,0,0,0,44848196,7105.63,8955.36,43.6085,15.2344,2689.48,1.26032,119.828,2.64201,0,ycsb,0,10791,0,0,0,0,0
38,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2028507,0,119.829,0,0,0,0,0,44783365,7111.86,8965.36,43.6782,15.2512,2693.28,1.26062,119.829,2.6406,0,ycsb,0,11045,0,0,0,0,0
39,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2030814,0,119.836,0,0,0,0,0,44838615,7109.28,8965.09,43.6623,15.2491,2690.2,1.26104,119.836,2.64266,0,ycsb,0,10630,0,0,0,0,0
40,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2028580,0,119.83,0,0,0,0,0,44813591,7109.29,8966.2,43.6449,15.2516,2691.78,1.2612,119.83,2.64111,0,ycsb,0,11075,0,0,0,0,0
41,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2022676,0,119.84,0,0,0,0,0,44777317,7102.14,8953.53,43.6756,15.2316,2693.86,1.26068,119.84,2.63642,0,ycsb,0,11010,0,0,0,0,0
42,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2027370,0,119.839,0,0,0,0,0,44831031,7097.5,8954.63,43.5683,15.2318,2690.85,1.26166,119.839,2.63764,0,ycsb,0,11095,0,0,0,0,0
43,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2022665,0,119.83,0,0,0,0,0,44717514,7108.15,8969.03,43.6809,15.2571,2697.46,1.26179,119.83,2.63513,0,ycsb,0,10920,0,0,0,0,0
44,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2024136,0,119.833,0,0,0,0,0,44804559,7103.21,8969.63,43.5278,15.2587,2691.9,1.26276,119.833,2.63873,0,ycsb,0,10778,0,0,0,0,0
45,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2020680,0,119.837,0,0,0,0,0,44681211,7103.23,8965.38,43.6445,15.251,2699.89,1.26215,119.837,2.63094,0,ycsb,0,11118,0,0,0,0,0
46,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2019061,0,119.834,0,0,0,0,0,44706814,7097.78,8948.59,43.6392,15.2232,2698.36,1.26076,119.834,2.63041,0,ycsb,0,11180,0,0,0,0,0
47,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2011655,0,119.836,0,0,0,0,0,44622324,7107.06,8967.44,43.7153,15.2565,2703.9,1.26176,119.836,2.62844,0,ycsb,0,11100,0,0,0,0,0
48,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2015101,0,119.842,0,0,0,0,0,44614262,7100.19,8968.98,43.684,15.2565,2703.57,1.2632,119.842,2.62623,0,ycsb,0,10931,0,0,0,0,0
49,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2003740,0,119.839,0,0,0,0,0,44620461,7095.45,8968.9,43.6194,15.2558,2703.55,1.26404,119.839,2.62449,0,ycsb,0,11167,0,0,0,0,0
50,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2009549,0,119.843,0,0,0,0,0,44504549,7095.23,8968.89,43.7393,15.2559,2710.36,1.26407,119.843,2.61782,0,ycsb,0,11244,0,0,0,0,0
51,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2005791,0,119.842,0,0,0,0,0,44496293,7095.48,8969.92,43.6929,15.2593,2711.22,1.26417,119.842,2.61708,0,ycsb,0,11096,0,0,0,0,0
52,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2002193,0,119.843,0,0,0,0,0,44633197,7077.18,8948.92,43.6004,15.2128,2702.74,1.26447,119.843,2.61852,0,ycsb,0,10937,0,0,0,0,0
53,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2012212,0,119.838,0,0,0,0,0,44603257,7090.01,8968.99,43.6327,15.2541,2704.55,1.26502,119.838,2.62151,0,ycsb,0,10947,0,0,0,0,0
54,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2009497,0,119.827,0,0,0,0,0,44508753,7095.17,8966.89,43.691,15.2535,2709.41,1.2638,119.827,2.61871,0,ycsb,0,11233,0,0,0,0,0
55,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2008677,0,119.84,0,0,0,0,0,44516562,7091.77,8966.61,43.6733,15.2479,2709.79,1.26437,119.84,2.61709,0,ycsb,0,11059,0,0,0,0,0
56,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2028340,0,119.838,0,0,0,0,0,44971738,7016.99,8875.35,43.2219,15.0842,2682.44,1.26484,119.838,2.6159,0,ycsb,0,11200,0,0,0,0,0
57,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2007070,0,119.843,0,0,0,0,0,44620984,7077.37,8957.13,43.6203,15.2097,2703.75,1.2656,119.843,2.61762,0,ycsb,0,10988,0,0,0,0,0
58,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2006139,0,119.837,0,0,0,0,0,44519300,7081.46,8964.88,43.6641,15.2318,2709.79,1.26597,119.837,2.61329,0,ycsb,0,11009,0,0,0,0,0
59,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2001855,0,119.839,0,0,0,0,0,44417591,7079.03,8965.11,43.6938,15.246,2715.63,1.26643,119.839,2.60678,0,ycsb,0,11225,0,0,0,0,0
60,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2004574,0,119.834,0,0,0,0,0,44407986,7095.75,8965.25,43.7905,15.2424,2716.38,1.26347,119.834,2.61221,0,ycsb,0,11142,0,0,0,0,0
61,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2010221,0,119.839,0,0,0,0,0,44752510,7017.05,8887.41,43.3218,15.1025,2695.34,1.26654,119.839,2.6034,0,ycsb,0,11260,0,0,0,0,0
62,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2009580,0,119.842,0,0,0,0,0,44725921,7042.11,8920.38,43.4605,15.1711,2697.26,1.26672,119.842,2.61084,0,ycsb,0,10818,0,0,0,0,0
63,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,1996310,0,119.838,0,0,0,0,0,44327952,7076.47,8965.36,43.7485,15.2416,2721.36,1.26693,119.838,2.60034,0,ycsb,0,11291,0,0,0,0,0
64,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,1996034,0,119.83,0,0,0,0,0,44332582,7073.42,8964.6,43.7257,15.2324,2720.98,1.26736,119.83,2.59959,0,ycsb,0,10877,0,0,0,0,0
65,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,1991802,0,119.837,0,0,0,0,0,44296200,7079.65,8965.17,43.7496,15.2339,2723.39,1.26633,119.837,2.59957,0,ycsb,0,11038,0,0,0,0,0
66,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2025375,0,119.837,0,0,0,0,0,45085975,6955.9,8819.03,42.9568,14.983,2675.73,1.26785,119.837,2.59962,0,ycsb,0,11499,0,0,0,0,0
67,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,1998832,0,119.84,0,0,0,0,0,44555928,7035.55,8922.2,43.4475,15.1603,2707.4,1.26816,119.84,2.59863,0,ycsb,0,11143,0,0,0,0,0
68,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,1989033,0,119.84,0,0,0,0,0,44297661,7069.44,8965.15,43.6885,15.2396,2723.3,1.26816,119.84,2.59591,0,ycsb,0,11087,0,0,0,0,0
69,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,1990850,0,119.822,0,0,0,0,0,44244581,7072.78,8969.82,43.7424,15.2472,2725.7,1.26822,119.822,2.59485,0,ycsb,0,11031,0,0,0,0,0
70,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,1990562,0,119.819,0,0,0,0,0,44227774,7071.16,8966.29,43.7478,15.2518,2727.16,1.26801,119.819,2.59286,0,ycsb,0,11186,0,0,0,0,0
71,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,1990701,0,119.842,0,0,0,0,0,44265959,7068.19,8969.7,43.6819,15.248,2724.87,1.26902,119.842,2.59396,0,ycsb,0,11052,0,0,0,0,0
72,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,1985673,0,119.837,0,0,0,0,0,44197543,7075.92,8969.98,43.7867,15.2476,2729.34,1.26768,119.837,2.59254,0,ycsb,0,11307,0,0,0,0,0
73,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,1985506,0,119.842,0,0,0,0,0,44239681,7067.36,8965.19,43.6882,15.2505,2726.8,1.26853,119.842,2.59182,0,ycsb,0,11149,0,0,0,0,0
74,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,1989758,0,119.843,0,0,0,0,0,44190754,7075.27,8965.24,43.7789,15.2444,2729.45,1.26712,119.843,2.5922,0,ycsb,0,10951,0,0,0,0,0
75,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,1983836,0,119.839,0,0,0,0,0,44231997,7066.43,8966.43,43.7858,15.2392,2727.33,1.26888,119.839,2.59097,0,ycsb,0,11054,0,0,0,0,0
76,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2009097,0,119.842,0,0,0,0,0,44693558,6997.27,8881.71,43.2671,15.1045,2699.05,1.26931,119.842,2.5925,0,ycsb,0,11183,0,0,0,0,0
77,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,1996132,0,119.839,0,0,0,0,0,44418338,7029.14,8921.28,43.5577,15.1769,2715.81,1.26919,119.839,2.58823,0,ycsb,0,11038,0,0,0,0,0
78,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,1979230,0,119.838,0,0,0,0,0,44180841,7062.3,8965.42,43.7348,15.2508,2730.41,1.26948,119.838,2.58653,0,ycsb,0,11006,0,0,0,0,0
0,120,1,1,4,6,200,100,0.9,0,0,0,100,1.52588e-05,100,0,0,0,0,0,0,0,0,100,0,0,86443,0,1.31561,0,0,0,1,0,0,inf,inf,inf,inf,inf,0.300464,1.31561,1.21837,0,ycsb,0,0,0,0,0,0,0
1,120,1,1,4,6,200,100,0.9,0,0,0,100,16.233,100,0,0,0,0,0,0,0,0,91.6314,0,0,1925188,0,118.45,0,0,0,1063880,0,0,inf,inf,inf,inf,inf,1.83314,118.45,2.70599,0,ycsb,0,0,105437,0,0,0,0
2,120,1,1,4,6,200,100,0.9,0,0,0,100,34.4683,100,0,0,0,0,0,0,0,0,82.2288,0,0,1954908,0,119.885,0,0,0,1195062,0,0,inf,inf,inf,inf,inf,1.99771,119.885,2.70352,0,ycsb,0,0,8177,0,0,0,0
3,120,1,1,4,6,200,100,0.9,0,0,0,100,52.8287,100,0,0,0,0,0,0,0,0,72.7617,0,0,1873021,0,119.88,0,0,0,1203266,0,0,inf,inf,inf,inf,inf,2.00406,119.88,2.69897,0,ycsb,0,0,7987,0,0,0,0
4,120,1,1,4,6,200,100,0.9,0,0,0,100,71.2481,100,0,0,0,0,0,0,0,0,63.2642,0,0,1875682,0,119.889,0,0,0,1207133,0,0,inf,inf,inf,inf,inf,1.99946,119.889,2.70309,0,ycsb,0,0,8358,0,0,0,0
5,120,1,1,4,6,200,100,0.9,0,0,0,100,89.5609,100,0,0,0,0,0,0,0,0,53.8217,0,0,1881143,0,119.888,0,0,0,1200147,0,0,inf,inf,inf,inf,inf,1.98275,119.888,2.70662,0,ycsb,0,0,15764,0,0,0,0
6,120,1,1,4,6,200,100,0.9,0,0,0,100,107.154,100,0,0,0,0,0,0,0,0,44.7489,0,0,1947428,0,119.882,0,0,0,1152987,0,0,inf,inf,inf,inf,inf,1.87539,119.882,2.74336,0,ycsb,0,0,127621,0,0,0,0
7,120,1,1,4,6,200,100,0.9,0,0,0,100,107.211,100,0,0,0,0,0,0,0,0,44.7195,0,0,3613540,0,2.82421,0,0,0,3679,0,0,inf,inf,inf,inf,inf,0.658954,2.82421,3.71663,0,ycsb,0,0,161951,0,0,0,0
8,120,1,1,4,6,200,100,0.9,0,0,0,100,107.211,100,0,0,0,0,0,0,0,0,44.7195,0,0,3769304,0,0.997282,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44724,0.997282,2.16801,0,ycsb,0,0,0,0,0,0,0
9,120,1,1,4,6,200,100,0.9,0,0,0,100,107.211,100,0,0,0,0,0,0,0,0,44.7195,0,0,3762556,0,0.99736,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44405,0.99736,3.30823,0,ycsb,0,0,0,0,0,0,0
10,120,1,1,4,6,200,100,0.9,0,0,0,100,107.211,100,0,0,0,0,0,0,0,0,44.7195,0,0,3763605,0,0.997374,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44366,0.997374,3.33416,0,ycsb,0,0,0,0,0,0,0
11,120,1,1,4,6,200,100,0.9,0,0,0,100,107.211,100,0,0,0,0,0,0,0,0,44.7195,0,0,3759642,0,0.99736,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44357,0.99736,3.33396,0,ycsb,0,0,0,0,0,0,0
12,120,1,1,4,6,200,100,0.9,0,0,0,100,107.211,100,0,0,0,0,0,0,0,0,44.7195,0,0,3761953,0,0.99741,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44383,0.99741,3.33365,0,ycsb,0,0,0,0,0,0,0
13,120,1,1,4,6,200,100,0.9,0,0,0,100,107.211,100,0,0,0,0,0,0,0,0,44.7195,0,0,3762926,0,0.997398,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44355,0.997398,3.33448,0,ycsb,0,0,0,0,0,0,0
14,120,1,1,4,6,200,100,0.9,0,0,0,100,107.211,100,0,0,0,0,0,0,0,0,44.7195,0,0,3765850,0,0.99735,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44367,0.99735,3.33764,0,ycsb,0,0,0,0,0,0,0
15,120,1,1,4,6,200,100,0.9,0,0,0,100,107.211,100,0,0,0,0,0,0,0,0,44.7195,0,0,3760495,0,0.997369,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44341,0.997369,3.33364,0,ycsb,0,0,0,0,0,0,0
16,120,1,1,4,6,200,100,0.9,0,0,0,100,107.211,100,0,0,0,0,0,0,0,0,44.7195,0,0,3760843,0,0.997335,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44351,0.997335,3.33201,0,ycsb,0,0,0,0,0,0,0
17,120,1,1,4,6,200,100,0.9,0,0,0,100,107.211,100,0,0,0,0,0,0,0,0,44.7195,0,0,3765010,0,0.997406,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44387,0.997406,3.337,0,ycsb,0,0,0,0,0,0,0
