t,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_su_merge,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,c_backoff,c_mutex,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter
44,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731941,90.4821,1.14591,8.37198,6.28395,0.470713,5.69795,706518,641,641,1.00708,62.2895,78,57.0725,190918,228295,226270,97.6538,1.21735,95,57.0257,3,57.1037,2418559,130487,12067.3,107.816,12.1632,40581.1,0.0924788,97.6538,3.21546,0,0,0,0,0,0,0,0,0,0,0,latest,3660,689790,0,0,3,7,0,0,0,2
45,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,99.9637,0.00250926,0.0338205,0.0112371,0.502834,6.42088,730596,4,4,1.01495,64.4705,78,0.0624084,102384,260588,258901,117.365,0.0212742,1,0.0624084,4,0,3245451,117860,10361.1,88.637,10.0777,36342.9,0.0879102,117.365,3.24301,0,0,0,0,0,0,0,0,0,0,0,latest,0,338831,0,0,4,8,0,0,0,5
46,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,89.9771,1.04609,8.9768,7.27372,0.856242,5.47598,614737,506,506,1.01023,62.823,78,57.0413,50334,231998,230156,101.163,1.07399,80,56.9945,4,57.0881,3139251,104543,10844.5,93.5158,11.1408,32396.3,0.103732,101.163,3.22701,0,0,0,0,0,0,0,0,0,0,0,latest,3659,422057,0,0,4,0,0,0,1,4
47,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731939,99.9839,0.00112513,0.0150017,0.00537562,0.507059,6.67203,822788,2,2,1.01495,70.0393,78,0.0312042,295365,244817,242037,117.667,0.00875102,1,0.0312042,2,0,2201381,176110,14370,100.246,11.6292,53716.2,0.0815969,117.667,3.27852,0,0,0,0,0,0,0,0,0,0,0,latest,0,342214,0,0,2,7,0,0,1,3
48,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,90.3708,1.1603,8.46888,6.37118,2.95748,5.61102,716926,856,856,1.00708,61.8474,78,57.0413,240833,219172,216886,99.0192,1.35777,97,56.9633,1,57.1037,2199708,145276,16599,110.294,12.6223,45258.2,0.114258,99.0192,3.20994,0,0,0,0,0,0,0,0,0,0,0,latest,3660,907468,0,0,1,3,0,0,0,0
49,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731939,99.9644,0.00201245,0.0335408,0.0144226,0.49797,6.4764,758268,3,3,1.01338,68.8371,78,0.0468063,136404,260062,258418,117.647,0.0181121,1,0.0468063,3,0,3014508,125562,10890.7,96.1783,10.4788,39234.2,0.0867358,117.647,3.20032,0,0,0,0,0,0,0,0,0,0,0,latest,0,336757,0,0,3,3,0,0,1,4
50,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,84.0666,1.09893,14.8344,11.6821,0.465643,5.29869,655747,810,810,1.00708,62.1338,78,57.0413,151468,217351,215580,98.4139,2.40749,53,56.9945,1,57.0881,2428776,129685,12462,115.748,12.9901,40724.4,0.0960943,98.4139,3.18446,0,0,0,0,0,0,0,0,0,0,0,latest,3659,358597,0,0,1,8,0,0,0,0
51,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,99.9818,0.00101911,0.0172117,0.00600145,0.496761,6.24173,744381,2,2,1.01023,62.6231,78,0.0312042,159755,251969,249245,115.935,0.0105308,1,0.0312042,2,0,2927318,129448,11329,91.0921,10.6736,39808.7,0.0875179,115.935,3.25175,0,0,0,0,0,0,0,0,0,0,0,latest,0,365525,0,0,2,5,0,0,0,2
52,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,88.1453,1.12367,10.731,8.9451,0.668678,5.88185,766783,581,581,1.00865,62.3446,78,57.0881,216803,252175,249953,95.9508,1.11743,55,57.0569,3,57.1037,2829605,108133,14720.6,88.5806,12.0029,34081.1,0.136134,95.9508,3.17282,0,0,0,0,0,0,0,0,0,0,0,latest,3660,851852,0,0,3,2,0,0,0,3
53,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,99.9902,0.000641357,0.00919279,0.00277921,0.57487,6.58278,769040,1,1,1.01023,61.9371,78,0.0156021,73164,284580,282775,117.603,0.005986,0,0.0156021,1,0,3747547,100516,9256.12,57.8453,9.69961,31538.2,0.0920859,117.603,3.18713,0,0,0,0,0,0,0,0,0,0,0,latest,0,382983,0,0,1,1,0,0,0,1
54,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731939,87.8609,1.09475,11.0444,9.33019,0.566401,5.28752,677543,579,579,1.00865,70.9788,78,57.0725,153306,229683,227644,102.546,1.08311,44,57.0413,0,57.1037,2592666,126558,12471.2,73.3424,12.5628,39746.1,0.0985417,102.546,3.18417,0,0,0,0,0,0,0,0,0,0,0,latest,3660,419677,0,0,0,2,0,0,0,1
55,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,99.9812,0.00098312,0.017819,0.00639028,0.507659,6.88086,832826,2,2,1.01023,64.3792,78,0.0312042,271363,257863,254973,117.449,0.0105685,1,0.0312042,2,0,2626179,147265,12464.4,70.6341,11.0508,44940.8,0.084639,117.449,3.27687,0,0,0,0,0,0,0,0,0,0,0,latest,0,355894,0,0,2,4,0,0,0,1
56,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,88.6024,1.06117,10.3364,7.27181,0.524773,5.55503,679432,727,727,1.00708,63.1282,78,57.0725,114131,239137,237169,96.1581,1.09243,47,57.0413,1,57.1037,2844560,108237,11431.8,74.7646,11.603,33981.6,0.105619,96.1581,3.18515,0,0,0,0,0,0,0,0,0,0,0,latest,3660,541459,0,0,1,5,0,0,0,1
57,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731939,99.9872,0.00087515,0.0119239,0.00503211,0.477285,6.46594,763047,2,2,1.0118,68.0708,78,0.0312042,102900,274300,272491,117.637,0.00634484,0,0.0312042,2,0,3392244,111932,9971.09,66.6075,9.78822,34850.1,0.0890816,117.637,3.21182,0,0,0,0,0,0,0,0,0,0,0,latest,0,332077,0,0,2,1,0,0,0,3
58,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731939,89.3808,1.97478,8.64447,6.67505,0.705203,5.82447,728313,477,477,1.00708,70.3761,78,57.0413,210241,235754,233447,101.47,1.30938,84,56.9945,2,57.0881,2496751,129980,12008.1,81.7716,12.1556,40851.9,0.0923842,101.47,3.18173,0,0,0,0,0,0,0,0,0,0,0,latest,3659,392744,0,0,2,11,0,0,0,2
59,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,99.9818,0.00106809,0.0170895,0.00593384,0.484202,6.70524,805497,2,2,1.00865,61.86,78,0.0312042,220311,259796,256823,117.741,0.0105622,1,0.0312042,2,0,2836744,137541,11804.2,69.4694,10.5063,41721.3,0.0858229,117.741,3.29668,0,0,0,0,0,0,0,0,0,0,0,latest,0,351873,0,0,2,3,0,0,0,1
0,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,8.67967,7.7984,83.5219,63.0574,0.986293,0.132381,8897329,669303,669303,1.00393,94.4485,78,10453.5,65303168,737466,730097,1.51207,13.3942,318,10453.6,731938,15.2589,1,142514,135503,12450,1926,611807,0.950805,1.51207,0.232939,0,0,0,0,0,0,0,0,0,0,0,latest,979,0,17920,14870,0,0,0,0,0,0
1,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,6.44139,19.2775,74.2811,60.4834,0.154807,0.477906,87587,3928,3927,0.546027,69.4917,79,438.887,44552,24478,24137,67.6374,8.94218,361,438.887,0,443.35,289524,424850,94987,413.445,66.3965,234432,0.223578,67.6374,1.81225,0,0,0,0,0,0,0,0,0,0,0,latest,28415,858560,0,0,0,0,0,0,0,0
2,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,50.2074,7.88065,41.9119,36.6056,1.32303,3.21958,448486,5288,5289,0.948859,68.9567,79,130.418,176366,134507,133705,53.484,3.15195,232,130.418,0,126.533,1322817,73690.7,24060.6,187.538,18.6167,40651.3,0.326508,53.484,1.81275,0,0,0,0,0,0,0,0,0,0,0,latest,8110,1037408,0,0,0,0,0,0,0,0
3,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,81.1176,1.44827,17.4342,15.2231,0.827397,5.8319,708633,804,804,1.00708,73.1991,78,57.1505,407326,189112,186933,94.9172,1.36648,30,57.1505,0,56.6045,1505073,117069,13606.3,138.25,15.0925,63463.8,0.116224,94.9172,1.84466,0,0,0,0,0,0,0,0,0,0,0,latest,3628,484746,0,0,0,0,0,0,0,0
4,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,96.2912,0.534167,3.17465,2.28647,0.621446,7.06852,817847,179,179,0.276947,67.4618,79,22.8415,497750,214308,211691,116.231,0.572911,10,22.7791,0,29.644,1713416,141427,12927.4,115.277,12.8472,68132.3,0.0914069,116.231,2.07577,0,0,0,0,0,0,0,0,0,0,0,latest,1903,331235,0,0,0,0,0,0,0,0
5,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,91.1704,0.673293,8.15633,7.02274,0.519779,5.94405,739847,527,527,1.00708,69.4209,78,34.1374,257958,222036,220507,94.3301,0.706765,19,33.9814,0,27.3349,2052682,119376,11348.6,130.685,13.65,46194.2,0.0950656,94.3301,2.58423,0,0,0,0,0,0,0,0,0,0,0,latest,1749,369713,0,0,0,0,0,0,0,0
6,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,94.158,0.771501,5.07052,3.69077,0.427779,6.41893,814539,272,271,0.275374,61.9827,79,35.526,304309,238545,236942,115.086,0.873918,74,35.3076,0,42.6562,2188858,165190,13809,112.664,12.2883,52805.1,0.0835946,115.086,3.12829,0,0,0,0,0,0,0,0,0,0,0,latest,2737,308051,0,0,0,0,0,0,0,0
7,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,93.5649,0.450466,5.98464,5.18679,0.460985,6.09738,795531,502,503,1.00708,70.1998,78,21.5465,291607,234090,231581,104.818,0.502072,10,21.4841,0,14.4164,2083177,160047,13752.5,112.745,12.8562,50570.6,0.0859275,104.818,3.16483,0,0,0,0,0,0,0,0,0,0,0,latest,921,427187,0,0,0,0,0,0,0,0
8,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,91.601,0.986041,7.41298,5.92606,0.429436,6.12518,793359,338,337,0.6845,61.1314,79,43.7639,311892,228657,226191,114.025,0.90189,29,43.5455,0,46.8063,2061096,183470,15373.9,105.629,12.4292,55570.5,0.083795,114.025,3.30158,0,0,0,0,0,0,0,0,0,0,0,latest,3000,320174,0,0,0,0,0,0,0,0
9,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,96.1624,0.294652,3.54294,2.95834,0.56471,6.3044,803141,409,410,1.00708,68.5193,78,13.2774,245950,247366,245767,103.01,0.374585,40,12.8717,0,10.235,2318179,141042,13243.5,115.228,12.029,44658.9,0.0938978,103.01,3.1582,0,0,0,0,0,0,0,0,0,0,0,latest,656,380443,0,0,0,0,0,0,0,0
10,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,90.2313,1.04692,8.72176,7.0584,0.4424,6.04051,755666,473,473,0.937844,57.4162,79,51.1437,240121,230397,228867,111.903,1.0356,40,49.0686,0,51.7522,2252991,161396,13743.9,111.06,12.1501,49829.2,0.0851565,111.903,3.23899,0,0,0,0,0,0,0,0,0,0,0,latest,3317,345202,0,0,0,0,0,0,0,0
11,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,95.5368,0.19178,4.27144,3.99699,1.47372,6.12995,789905,322,322,1.00708,70.4815,78,5.83519,289118,232847,230250,103.491,0.170744,0,5.74158,0,5.22671,2057827,154997,14860.8,111.626,12.5659,50543.9,0.0958779,103.491,3.06659,0,0,0,0,0,0,0,0,0,0,0,latest,335,554242,0,0,0,0,0,0,0,0
12,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,87.3193,1.90655,10.7742,7.5467,0.408116,5.85969,744971,427,427,1.00708,58.4626,78,52.3295,280247,217327,214961,112.383,1.70347,53,50.4572,0,52.2983,2010375,185236,15771.9,108.122,12.8059,56150.7,0.085145,112.383,3.2989,0,0,0,0,0,0,0,0,0,0,0,latest,3352,331478,0,0,0,0,0,0,0,0
13,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,97.0819,0.117523,2.80054,2.58926,0.538494,6.27019,798543,297,297,1.00708,68.9866,78,4.69624,256932,244113,242501,107.205,0.133532,0,4.58702,0,4.72744,2256365,152026,15041.9,116.106,12.1205,47755,0.0989431,107.205,3.18345,0,0,0,0,0,0,0,0,0,0,0,latest,303,428159,0,0,0,0,0,0,0,0
14,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,86.0765,1.06745,12.856,9.41842,0.431427,5.7409,740425,721,721,1.00708,60.9457,78,51.0033,244318,223284,221809,111.235,1.02045,48,49.2403,0,50.9565,2131897,173488,17649.6,113.994,12.4319,52424.2,0.101734,111.235,3.30931,0,0,0,0,0,0,0,0,0,0,0,latest,3266,647724,0,0,0,0,0,0,0,0
15,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,97.0206,0.144953,2.83448,2.55172,0.563543,5.53781,731473,377,377,1.00708,71.1613,78,6.05362,302770,212809,210333,100.229,0.181192,0,5.86639,0,6.10043,1838072,167277,18629.6,124.709,13.5059,54813.1,0.111369,100.229,3.05177,0,0,0,0,0,0,0,0,0,0,0,latest,391,696272,0,0,0,0,0,0,0,0
16,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,87.7732,1.27412,10.9527,8.97096,0.440532,5.93383,757450,802,802,1.00708,62.3698,78,56.9789,326449,217033,214734,108.205,1.26996,67,54.467,0,56.9789,1978189,173510,14643.3,118.882,13.0685,54907.4,0.0843943,108.205,3.16005,0,0,0,0,0,0,0,0,0,0,0,latest,3652,339772,0,0,0,0,0,0,0,0
17,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,99.9887,0.000890283,0.010429,0.00699508,0.463965,6.87286,864809,4,4,1.00708,69.9481,78,0.0624084,330706,251045,249329,105.671,0.00267085,0,0.0468063,0,0.0624084,2183602,146845,12620.7,121.128,12.6664,48642.2,0.0859455,105.671,3.01888,0,0,0,0,0,0,0,0,0,0,0,latest,4,405511,0,0,0,0,0,0,0,0
18,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,86.1946,1.1532,12.6522,10.8011,0.429266,5.71109,738081,733,733,1.00708,64.2801,78,56.9945,245944,222053,220490,108.699,1.13734,42,54.7946,0,56.9945,2106590,165672,15442.2,119.15,13.1161,51790.2,0.0932091,108.699,3.19891,0,0,0,0,0,0,0,0,0,0,0,latest,3653,396289,0,0,0,0,0,0,0,0
19,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,99.9697,0.00365401,0.0266221,0.016965,0.491072,6.90151,883580,7,7,1.00708,71.4555,78,0.109215,384525,250814,247961,110.172,0.00769952,0,0.109215,0,0.109215,2119324,163797,13753.8,109.784,12.3815,52249.3,0.0839687,110.172,3.13491,0,0,0,0,0,0,0,0,0,0,0,latest,7,360704,0,0,0,0,0,0,0,0
20,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,84.797,1.48283,13.7202,11.5475,0.400679,5.98717,771686,711,711,1.00708,64.664,78,57.0881,345462,219789,217456,105.979,1.37074,88,55.5435,0,57.0881,1977456,172696,15339.3,116.968,13.6363,53780.1,0.0888227,105.979,3.21115,0,0,0,0,0,0,0,0,0,0,0,latest,3659,476331,0,0,0,0,0,0,0,0
21,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,99.9953,0.000362265,0.00434718,0.0024151,0.490748,6.40568,808568,1,1,1.00708,68.6829,78,0.0156021,240739,248949,247247,112.302,0.00169057,0,0.0156021,0,0.0156021,2368383,151700,12655.6,113.229,11.7287,47659.3,0.0834249,112.302,3.18302,0,0,0,0,0,0,0,0,0,0,0,latest,1,327599,0,0,0,0,0,0,0,0
22,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,88.3353,1.20839,10.4563,8.54113,0.447113,5.94195,756122,699,699,1.00708,67.6994,78,57.0881,237269,232739,231068,105.093,1.20886,34,56.5577,0,57.0881,2234005,152963,13994.1,118.603,12.6196,47202.9,0.0914869,105.093,3.24054,0,0,0,0,0,0,0,0,0,0,0,latest,3659,379998,0,0,0,0,0,0,0,0
23,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,100,0,0,0,0.690909,6.48963,830871,0,0,1.00708,68.8245,78,0,318572,240038,237256,113.589,0,0,0,0,0,2104234,169630,14083.6,106.517,12.1659,54250.2,0.0830253,113.589,3.12681,0,0,0,0,0,0,0,0,0,0,0,latest,0,350279,0,0,0,0,0,0,0,0
24,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,86.8131,1.21588,11.971,9.88606,0.503184,5.67539,744058,681,681,1.00708,67.1031,78,57.0881,277009,220983,218622,103.557,1.32387,82,57.0413,0,57.0725,2065261,165124,14301.2,115.573,13.125,50361.6,0.0866091,103.557,3.27876,0,0,0,0,0,0,0,0,0,0,0,latest,3658,430756,0,0,0,0,0,0,0,0
25,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,100,0,0,0,0.484722,6.5467,827253,0,0,1.00708,68.7537,78,0,269947,249192,247480,111.296,0,0,0,0,0.0156021,2310899,151445,12711.9,111.413,11.9014,48405.3,0.0839373,111.296,3.12868,0,0,0,0,0,0,0,0,0,0,0,latest,1,328648,0,0,0,0,0,0,0,0
26,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,87.7056,1.42544,10.869,9.04624,0.445371,5.77544,736017,646,646,1.00708,68.3367,78,57.0725,215110,227323,225737,102.483,1.13788,37,56.9789,0,57.0725,2189118,151553,13482.5,118.289,12.9449,46992.9,0.0889625,102.483,3.22502,0,0,0,0,0,0,0,0,0,0,0,latest,3658,338018,0,0,0,0,0,0,0,0
27,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,99.9907,0.000523556,0.00876956,0.00366489,0.498164,6.68058,857939,1,1,1.00708,70.8482,78,0.0156021,372619,241020,238168,114.178,0.004712,0,0.0156021,0,0.0156021,2048398,175769,14491.1,113.126,12.4396,56024.7,0.082444,114.178,3.13735,0,0,0,0,0,0,0,0,0,0,0,latest,1,342119,0,0,0,0,0,0,0,0
28,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,84.4996,1.92781,13.5726,11.2656,0.407668,5.62977,750079,964,964,1.00708,67.1802,78,57.1037,328841,214965,212653,103.057,1.45434,79,57.0569,0,57.1037,1901177,174169,15533.4,125.795,14.2405,54450.1,0.0891859,103.057,3.19868,0,0,0,0,0,0,0,0,0,0,0,latest,3660,479570,0,0,0,0,0,0,0,0
29,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,100,0,0,0,0.467595,6.48028,816200,0,0,1.00708,69.24,78,0,273407,245335,243756,115.563,0,0,0,0,0,2268967,164521,13442,114.054,11.8983,51190.7,0.081704,115.563,3.21388,0,0,0,0,0,0,0,0,0,0,0,latest,0,323360,0,0,0,0,0,0,0,0
30,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,81.2194,2.53981,16.2408,14.3247,1.38451,4.92752,663720,964,964,1.00708,67.1802,78,57.0101,217510,199996,198607,100.786,1.20428,20,56.9321,0,57.0101,1871770,175985,23901.5,125.293,13.5851,54094.1,0.135816,100.786,3.2533,0,0,0,0,0,0,0,0,0,0,0,latest,3654,1018966,0,0,0,0,0,0,0,0
31,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,99.9041,0.00213175,0.093797,0.084643,0.49281,6.3165,809905,6,6,1.00708,70.1605,78,0.0936127,307523,236893,234144,111.489,0.00727303,0,0.0936127,0,0.0936127,2103826,166202,14320.9,111.205,12.3235,53275.6,0.0861659,111.489,3.11966,0,0,0,0,0,0,0,0,0,0,0,latest,6,385024,0,0,0,0,0,0,0,0
32,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,88.9739,2.49275,8.53338,6.44964,0.424573,5.99299,764914,598,598,1.00708,67.509,78,57.1037,270132,228655,226328,97.8102,1.23508,61,57.0101,0,57.1037,2140788,149607,13356.7,120.453,13.1004,45919.9,0.0892787,97.8102,3.25799,0,0,0,0,0,0,0,0,0,0,0,latest,3660,425099,0,0,0,0,0,0,0,0
33,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,100,0,0,0,0.747797,6.50709,798333,0,0,1.00708,68.7034,78,0,235619,246127,244449,116.453,0,0,0,0,0,2368020,156715,12931,105.95,11.4029,49425.6,0.082513,116.453,3.17072,0,0,0,0,0,0,0,0,0,0,0,latest,0,324917,0,0,0,0,0,0,0,0
34,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,84.8233,1.14228,14.0344,12.1869,0.789677,5.4074,708137,486,486,1.00708,68.0488,78,57.0881,207110,219245,217572,101.631,1.12604,28,57.0413,0,57.0881,2129676,156033,17301.2,118.012,13.1435,47946.7,0.110881,101.631,3.25431,0,0,0,0,0,0,0,0,0,0,0,latest,3659,415119,0,0,0,0,0,0,0,0
35,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,100,0,0,0,0.477867,6.75263,837386,0,0,1.00708,70.1227,78,0,329249,242235,239357,116.601,0,0,0,0,0,2115257,178557,14506.8,105.742,11.9867,55407.8,0.0812444,116.601,3.2226,0,0,0,0,0,0,0,0,0,0,0,latest,0,335139,0,0,0,0,0,0,0,0
36,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,86.8597,2.45962,10.6807,8.20326,0.465595,5.41687,715630,900,900,1.00708,65.5515,78,57.1037,253412,214315,212066,98.2033,1.37144,93,56.9945,0,57.1037,2016727,156468,14779.2,121.175,13.2708,48955.2,0.0944554,98.2033,3.19614,0,0,0,0,0,0,0,0,0,0,0,latest,3660,492812,0,0,0,0,0,0,0,0
37,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,100,0,0,0,0.533108,6.72534,829144,0,0,1.00708,69.2683,78,0,287415,247851,246247,117.647,0,0,0,0,0,2273320,163077,13343.7,108.265,11.4267,52027.4,0.0818244,117.647,3.13445,0,0,0,0,0,0,0,0,0,0,0,latest,0,297746,0,0,0,0,0,0,0,0
38,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,82.6962,2.28064,15.0232,13.0605,1.8324,5.06408,676244,1003,1003,1.00708,70.0031,78,57.0881,215581,204733,203278,99.6728,1.21801,66,57.0569,0,57.0881,1894995,167802,22442,123.09,13.6646,52854.3,0.133742,99.6728,3.1748,0,0,0,0,0,0,0,0,0,0,0,latest,3659,944643,0,0,0,0,0,0,0,0
39,120,0,1,1,80,1,6,1,10,0.9,60,0,0,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,100,0,0,0,0.567465,6.86415,844728,0,0,1.00708,70.6011,78,0,366248,239124,236212,117.39,0,0,0,0,0,2053153,180831,14755.4,106.144,12.0858,57463.2,0.081598,117.39,3.1469,0,0,0,0,0,0,0,0,0,0,0,latest,0,335116,0,0,0,0,0,0,0,0
