t,name,c_hash,cycle,cycle-kernel,instr,L1-miss,br-miss,task,IPC,CPU,GHz
0,pp_3,1533262774221806276,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,pp_2,1533262774221806276,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,pp_0,1533262774221806276,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
24,pp_3,10571069710592830605,2458497616.00,5164054.00,3702376037.00,708962.00,88901.00,1000157511.00,1.51,1.00,2.46
24,pp_2,10571069710592830605,2458651040.00,5098276.00,3632496923.00,642247.00,71860.00,1000225858.00,1.48,1.00,2.46
24,pp_0,10571069710592830605,2458538013.00,5296380.00,3628985263.00,652685.00,64982.00,1000161185.00,1.48,1.00,2.46
24,pp_1,10571069710592830605,2458769611.00,5140109.00,3638278468.00,635109.00,46836.00,1000242818.00,1.48,1.00,2.46
25,pp_3,10571069710592830605,2462066552.00,5208431.00,3707698948.00,715610.00,72727.00,1000238831.00,1.51,1.00,2.46
25,pp_2,10571069710592830605,2462078867.00,5168670.00,3644800952.00,634408.00,83916.00,1000252860.00,1.48,1.00,2.46
25,pp_0,10571069710592830605,2461935307.00,5426433.00,3633520174.00,644361.00,69846.00,1000162569.00,1.48,1.00,2.46
25,pp_1,10571069710592830605,2461940468.00,5111428.00,3642028765.00,630171.00,64710.00,1000162580.00,1.48,1.00,2.46
26,pp_3,10571069710592830605,2463752124.00,5439161.00,3711136598.00,715318.00,93477.00,1000234983.00,1.51,1.00,2.46
26,pp_2,10571069710592830605,2463721394.00,5392379.00,3654310848.00,639978.00,68472.00,1000248742.00,1.48,1.00,2.46
26,pp_0,10571069710592830605,2463561403.00,5446729.00,3644978504.00,650556.00,85842.00,1000152165.00,1.48,1.00,2.46
26,pp_1,10571069710592830605,2463847974.00,5371888.00,3656480487.00,629146.00,60838.00,1000254063.00,1.48,1.00,2.46
27,pp_3,10571069710592830605,2455146654.00,5729715.00,3693535038.00,691418.00,57200.00,1000501389.00,1.50,1.00,2.45
27,pp_2,10571069710592830605,2455171191.00,5672499.00,3635389155.00,649173.00,82380.00,1000507222.00,1.48,1.00,2.45
27,pp_0,10571069710592830605,2455084188.00,5729926.00,3625815432.00,667436.00,87312.00,1000450080.00,1.48,1.00,2.45
27,pp_1,10571069710592830605,2454935716.00,5426072.00,3632169528.00,626815.00,46738.00,1000395763.00,1.48,1.00,2.45
28,pp_3,10571069710592830605,2455282146.00,5299724.00,3709152898.00,622436.00,61663.00,1000208517.00,1.51,1.00,2.45
28,pp_2,10571069710592830605,2455324578.00,5268286.00,3627874355.00,647947.00,89938.00,1000239260.00,1.48,1.00,2.45
28,pp_0,10571069710592830605,2454886197.00,5522145.00,3627520740.00,657410.00,47426.00,1000036137.00,1.48,1.00,2.45
28,pp_1,10571069710592830605,2455452542.00,5194401.00,3634120437.00,598678.00,40577.00,1000247687.00,1.48,1.00,2.45
29,pp_3,10571069710592830605,2453982732.00,5348080.00,3695849343.00,621021.00,59421.00,1000219802.00,1.51,1.00,2.45
29,pp_2,10571069710592830605,2453914642.00,5358099.00,3626346187.00,639295.00,40672.00,1000202389.00,1.48,1.00,2.45
29,pp_0,10571069710592830605,2453054374.00,5556479.00,3623357821.00,654411.00,41058.00,999808770.00,1.48,1.00,2.45
29,pp_1,10571069710592830605,2453952519.00,5249459.00,3633515650.00,590912.00,39813.00,1000159241.00,1.48,1.00,2.45
