t,c_hash,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9
13,9255061853837813269,0,latest,0,727768,0,0,1,0,0,0,0,0,0,190,0,0,0,0,0,0,43739307,521093
14,9255061853837813269,0,latest,0,768485,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,45631417,598422
15,9255061853837813269,0,latest,0,764694,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46778481,639017
16,9255061853837813269,0,latest,0,779422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47201323,648012
17,9255061853837813269,0,latest,0,784657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46509045,593037
18,9255061853837813269,0,latest,0,763922,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45488157,561368
19,9255061853837813269,0,latest,0,790309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45802058,558691
20,9255061853837813269,0,latest,158,778006,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,45608319,560240
21,9255061853837813269,0,latest,37650,186806,0,0,1,1,0,0,0,9,0,79599,0,0,0,0,0,0,12608892,145217
22,9255061853837813269,0,latest,123,820190,0,0,3,0,0,0,1,1,0,11985,0,0,0,0,0,0,47081206,575098
23,9255061853837813269,0,latest,0,855741,0,0,1,0,0,0,0,0,0,240,0,0,0,0,0,0,47880515,574522
24,9255061853837813269,0,latest,0,828992,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,46472383,532623
25,9255061853837813269,0,latest,0,846064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47854847,582148
26,9255061853837813269,0,latest,0,854803,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47794693,583975
27,9255061853837813269,0,latest,0,860488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47708014,573628
28,9255061853837813269,0,latest,0,813064,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45844296,516923
29,9255061853837813269,0,latest,0,821165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46457495,543236
0,5678191923258950764,0,latest,947215,0,621,41261,0,0,0,0,0,0,0,1726101,0,0,0,0,0,0,336734643,2033
1,5678191923258950764,0,latest,48729,440180,0,0,0,0,0,0,0,0,0,104310,0,0,0,0,0,0,20764604,343136
2,5678191923258950764,0,latest,71,997170,0,0,0,0,0,0,0,0,0,6003,0,0,0,0,0,0,33107402,721302
3,5678191923258950764,0,latest,0,1015948,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,33316001,728406
4,5678191923258950764,0,latest,0,989383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33139078,747687
5,5678191923258950764,0,latest,0,993457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33306880,732549
6,5678191923258950764,0,latest,0,966731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33087753,745978
7,5678191923258950764,0,latest,0,946388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33118082,759748
8,5678191923258950764,0,latest,0,975830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33167590,745620
9,5678191923258950764,0,latest,0,961948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33171234,759203
10,5678191923258950764,0,latest,400,973957,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,32956619,738734
11,5678191923258950764,0,latest,5276,972278,0,0,0,0,0,0,0,0,0,20484,0,0,0,0,0,0,31689807,656502
12,5678191923258950764,0,latest,0,1056810,0,0,0,0,0,0,0,0,0,1362,0,0,0,0,0,0,33679806,722456
13,5678191923258950764,0,latest,0,1058385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33984468,740265
14,5678191923258950764,0,latest,0,1070675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33984309,733501
15,5678191923258950764,0,latest,0,1018069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33455320,733684
16,5678191923258950764,0,latest,0,1119157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34069537,693157
17,5678191923258950764,0,latest,0,1068442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33822374,713031
18,5678191923258950764,0,latest,0,1054990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33667859,710850
19,5678191923258950764,0,latest,0,1011933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33560796,736924
20,5678191923258950764,0,latest,567,987489,0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,0,33077417,748287
21,5678191923258950764,0,latest,5219,973651,0,0,0,0,0,0,0,0,0,22406,0,0,0,0,0,0,31020475,690023
22,5678191923258950764,0,latest,0,1129135,0,0,0,0,0,0,0,0,0,716,0,0,0,0,0,0,33545227,725240
23,5678191923258950764,0,latest,0,1137075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33524143,722718
24,5678191923258950764,0,latest,0,1111117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33216861,715264
25,5678191923258950764,0,latest,0,1070673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33076293,762304
26,5678191923258950764,0,latest,0,1083317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33240609,751044
27,5678191923258950764,0,latest,0,1080731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33467724,759662
28,5678191923258950764,0,latest,0,1087768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33261570,725365
29,5678191923258950764,0,latest,0,1107102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33364640,728714
0,17662797112277246170,0,latest,958671,0,702,41945,0,0,0,0,0,0,0,1737879,0,0,0,0,0,0,336846409,2137
