t,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,c_tag,c_mutex,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_run_for_seconds,c_fs,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_split,c_cm_update_on,c_cm_period,c_cm_slowpath_threshold,c_su_kwaymerge,c_su_merge,c_su_target_pct,c_zipf_factor,c_backoff,c_hash,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx
6,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731942,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,23.96,8,0.00,31894285,0,0,0.00,0,0.00,0,0.00,8191095
7,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731942,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,23.96,8,0.00,30385967,0,0,0.00,0,0.00,0,0.00,8399848
8,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731942,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,23.96,8,0.00,30848786,0,0,0.00,0,0.00,0,0.00,8369785
9,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731944,99.88,0.12,0.00,0.00,0.00,0.00,0,2,2,1.01,23.96,8,0.03,29598771,0,0,0.00,0,0.00,2,0.00,8145878
10,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731944,99.00,1.00,0.00,0.00,0.00,0.00,0,22,22,1.01,23.93,8,0.34,30963535,0,0,0.00,0,0.00,0,0.22,8314223
11,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731944,96.70,3.15,0.15,0.00,1.99,1561017798137593.50,30095,5621,5621,1.01,23.64,8,87.70,29323181,22773,22664,0.05,0,0.00,2,87.79,6929398
12,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731944,100.00,0.00,0.00,0.00,1.04,334864419344523904.00,393,0,0,1.01,23.55,8,0.00,29950901,304,301,0.00,0,0.00,0,0.00,8743991
13,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731946,99.88,0.12,0.00,0.00,0.00,0.00,0,2,2,1.01,23.55,8,0.03,30919934,0,0,0.00,0,0.00,2,0.00,8764655
14,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731946,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,23.55,8,0.00,32490798,0,0,0.00,0,0.00,0,0.00,8736902
15,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731947,99.92,0.08,0.00,0.00,0.00,0.00,0,1,1,1.01,23.55,8,0.02,30619992,0,0,0.00,0,0.00,1,0.00,8822038
16,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731947,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,23.55,8,0.00,35453341,0,0,0.00,0,0.00,0,0.00,8533588
17,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731949,99.94,0.06,0.00,0.00,0.00,0.00,0,1,1,1.01,23.55,8,0.02,33763160,0,0,0.00,0,0.00,2,0.00,8473566
18,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731949,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,23.55,8,0.00,35191504,0,0,0.00,0,0.00,0,0.00,8392239
19,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731951,99.88,0.12,0.00,0.00,0.00,0.00,0,2,2,1.01,23.55,8,0.03,35394691,0,0,0.00,0,0.00,2,0.00,8489492
20,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731952,97.99,2.01,0.00,0.00,0.41,353011205860968384.00,321,168,168,1.01,23.55,8,2.64,33823230,247,247,0.00,0,0.00,1,2.51,8566020
21,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731950,97.19,2.36,0.44,0.22,1.64,21713886649613380.00,38304,5673,5673,1.01,24.28,8,88.51,29142412,28638,28497,0.10,0,0.08,2,88.62,7796068
22,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731951,99.97,0.03,0.00,0.00,0.99,298050932471033984.00,612,1,1,1.01,24.27,8,0.02,29020552,477,476,0.00,0,0.00,1,0.00,8699445
23,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731951,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,24.27,8,0.00,30426369,0,0,0.00,0,0.00,0,0.00,8541254
24,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731953,99.91,0.09,0.00,0.00,0.00,0.00,0,2,2,1.01,24.27,8,0.03,32446206,0,0,0.00,0,0.00,2,0.00,8548905
25,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731953,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,24.27,8,0.00,33824955,0,0,0.00,0,0.00,0,0.00,8512019
26,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731955,99.90,0.10,0.00,0.00,0.00,0.00,0,2,2,1.01,24.27,8,0.03,34570927,0,0,0.00,0,0.00,2,0.00,8348166
27,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731955,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,24.27,8,0.00,32955566,0,0,0.00,0,0.00,0,0.00,8565194
28,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731955,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,24.27,8,0.00,31482010,0,0,0.00,0,0.00,0,0.00,8594402
29,0,1.00,10000,0.10,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,17662797112277246170,11.17,731957,99.87,0.13,0.00,0.00,0.00,0.00,0,2,2,1.01,24.27,8,0.03,31857936,0,0,0.00,0,0.00,2,0.00,8694262
